Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Prompt_Limit_Without_Competition_With_Limit_Return,Without_Prompt_Limit_With_Competition_Without_Limit_Return,Without_Prompt_Limit_With_Competition_With_Limit_Return,True_labels
43287,"[TextBlock(text='[\n  {\n    ""sid"": ""43287"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to access the /etc/inetd.conf file, which is a configuration file for the inetd service on Unix-like systems. This falls under the File and Directory Discovery technique, where an adversary tries to find and access specific files on the target system.""\n  },\n  {\n    ""sid"": ""43287"", \n    ""Technique ID"": ""T1087"",\n    ""Technique name"": ""Account Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule includes the T1087 tag, which corresponds to the Account Discovery technique. While the rule itself does not directly relate to account discovery, it is possible that an adversary may attempt to access the /etc/inetd.conf file as part of a broader reconnaissance effort, which could include trying to discover valid accounts on the system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""43287"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to access the /etc/inetd.conf file, which is a configuration file for the inetd service on Unix-like systems. This falls under the File and Directory Discovery technique, where an adversary tries to find and access specific files on the target system.""\n  },\n  {\n    ""sid"": ""43287"", \n    ""Technique ID"": ""T1087"",\n    ""Technique name"": ""Account Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule includes the T1087 tag, which corresponds to the Account Discovery technique. While the rule itself does not directly relate to account discovery, it is possible that an adversary may attempt to access the /etc/inetd.conf file as part of a broader reconnaissance effort, which could include trying to discover valid accounts on the system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""43287"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to access the /etc/inetd.conf file, which is a configuration file for the inetd service on Unix-like systems. This falls under the File and Directory Discovery technique, where an adversary tries to find and access specific files on the target system.""\n  },\n  {\n    ""sid"": ""43287"", \n    ""Technique ID"": ""T1087"",\n    ""Technique name"": ""Account Discovery"",\n    ""Quotes"": [\n      ""Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule includes the T1087 tag, which corresponds to the Account Discovery technique. While the rule itself does not directly relate to account discovery, it is possible that an adversary may attempt to access the /etc/inetd.conf file as part of a broader reconnaissance effort, which could include trying to discover valid accounts on the system.""\n  }\n]', type='text')]","['T1083', 'T1087', 'T1005']","['T1087', 'T1005']","['T1083', 'T1087']","['T1083', 'T1087']",['T1087']
22033,"[TextBlock(text='[\n  {\n    ""sid"": ""22033"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is detecting outbound HTTP traffic with specific characteristics, which indicates the use of the application layer protocol HTTP for command and control communication. This aligns with the technique of using application layer protocols to blend in with legitimate traffic.""\n  },\n  {\n    ""sid"": ""22033"", \n    ""Technique ID"": ""T1008"",\n    ""Technique name"": ""Fallback Channels"",\n    ""Quotes"": [\n      ""Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a specific variant of the Flashback malware, which suggests that the malware may be using an alternate or fallback channel for command and control communication, potentially to evade detection or maintain reliable communication.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""22033"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is detecting outbound HTTP traffic with specific characteristics, which indicates the use of the application layer protocol HTTP for command and control communication. This aligns with the technique of using application layer protocols to blend in with legitimate traffic.""\n  },\n  {\n    ""sid"": ""22033"", \n    ""Technique ID"": ""T1008"",\n    ""Technique name"": ""Fallback Channels"",\n    ""Quotes"": [\n      ""Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a specific variant of the Flashback malware, which suggests that the malware may be using an alternate or fallback channel for command and control communication, potentially to evade detection or maintain reliable communication.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""22033"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is detecting outbound HTTP traffic with specific characteristics, which indicates the use of the application layer protocol HTTP for command and control communication. This aligns with the technique of using application layer protocols to blend in with legitimate traffic.""\n  },\n  {\n    ""sid"": ""22033"", \n    ""Technique ID"": ""T1008"",\n    ""Technique name"": ""Fallback Channels"",\n    ""Quotes"": [\n      ""Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds""\n    ],\n    ""Explanation"": ""The Snort rule is detecting a specific variant of the Flashback malware, which suggests that the malware may be using an alternate or fallback channel for command and control communication, potentially to evade detection or maintain reliable communication.""\n  }\n]', type='text')]","['T1102', 'T1568', 'T1041', 'T1090', 'T1219', 'T1071', 'T1008', 'T1190', 'T1203', 'T1020', 'T1095', 'T1001']","['T1219', 'T1071']","['T1071', 'T1008']","['T1071', 'T1008']",['T1001']
32008,"[TextBlock(text='[\n  {\n    ""sid"": ""32008"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a phishing attack that delivers a malicious executable file disguised as a Delta airline ticket. The rule looks for specific patterns in the HTTP response that indicate the presence of a phishing attack.""\n  },\n  {\n    ""sid"": ""32008"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The phishing attack aims to trick the user into executing the malicious executable file, which would allow the adversary to gain execution on the victim\'s system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""32008"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a phishing attack that delivers a malicious executable file disguised as a Delta airline ticket. The rule looks for specific patterns in the HTTP response that indicate the presence of a phishing attack.""\n  },\n  {\n    ""sid"": ""32008"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The phishing attack aims to trick the user into executing the malicious executable file, which would allow the adversary to gain execution on the victim\'s system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""32008"",\n    ""Technique ID"": ""T1566"",\n    ""Technique name"": ""Phishing"",\n    ""Quotes"": [\n      ""Adversaries may send phishing messages to gain access to victim systems""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect a phishing attack that delivers a malicious executable file disguised as a Delta airline ticket. The rule looks for specific patterns in the HTTP response that indicate the presence of a phishing attack.""\n  },\n  {\n    ""sid"": ""32008"", \n    ""Technique ID"": ""T1204"",\n    ""Technique name"": ""User Execution"",\n    ""Quotes"": [\n      ""An adversary may rely upon specific actions by a user in order to gain execution""\n    ],\n    ""Explanation"": ""The phishing attack aims to trick the user into executing the malicious executable file, which would allow the adversary to gain execution on the victim\'s system.""\n  }\n]', type='text')]","['T1204', 'T1566', 'T1189', 'T1567', 'T1598']","['T1189', 'T1204']","['T1566', 'T1204']","['T1566', 'T1204']",['T1566']
30510,"[TextBlock(text='[\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to exploit the OpenSSL Heartbleed vulnerability (CVE-2014-0160) in public-facing servers running SSL/TLS services, which aligns with the technique of exploiting public-facing applications to gain initial access to a network.""\n  },\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1210"",\n    ""Technique name"": ""Exploitation of Remote Services"",\n    ""Quotes"": [\n      ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network""\n    ],\n    ""Explanation"": ""While the Snort rule is primarily focused on detecting the initial exploitation attempt, the targeted services (e.g., SMTP, HTTPS, LDAP) are often used for internal communication within a network. If the exploitation is successful, the adversary could potentially exploit these services to move laterally within the network.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to exploit the OpenSSL Heartbleed vulnerability (CVE-2014-0160) in public-facing servers running SSL/TLS services, which aligns with the technique of exploiting public-facing applications to gain initial access to a network.""\n  },\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1210"",\n    ""Technique name"": ""Exploitation of Remote Services"",\n    ""Quotes"": [\n      ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network""\n    ],\n    ""Explanation"": ""While the Snort rule is primarily focused on detecting the initial exploitation attempt, the targeted services (e.g., SMTP, HTTPS, LDAP) are often used for internal communication within a network. If the exploitation is successful, the adversary could potentially exploit these services to move laterally within the network.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to exploit the OpenSSL Heartbleed vulnerability (CVE-2014-0160) in public-facing servers running SSL/TLS services, which aligns with the technique of exploiting public-facing applications to gain initial access to a network.""\n  },\n  {\n    ""sid"": ""30510"",\n    ""Technique ID"": ""T1210"",\n    ""Technique name"": ""Exploitation of Remote Services"",\n    ""Quotes"": [\n      ""Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network""\n    ],\n    ""Explanation"": ""While the Snort rule is primarily focused on detecting the initial exploitation attempt, the targeted services (e.g., SMTP, HTTPS, LDAP) are often used for internal communication within a network. If the exploitation is successful, the adversary could potentially exploit these services to move laterally within the network.""\n  }\n]', type='text')]","['T1600', 'T1041', 'T1572', 'T1185', 'T1190', 'T1210', 'T1595', 'T1040', 'T1132', 'T1049']","['T1190', 'T1041']","['T1190', 'T1210']","['T1190', 'T1210']",['T1005']
1604,"[TextBlock(text='[\n  {\n    ""sid"": ""1604"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect directory traversal attempts, which is a technique used by adversaries to enumerate and access files and directories on a system. This aligns with the T1083 technique \'File and Directory Discovery\' from MITRE ATT&CK.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1604"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect directory traversal attempts, which is a technique used by adversaries to enumerate and access files and directories on a system. This aligns with the T1083 technique \'File and Directory Discovery\' from MITRE ATT&CK.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1604"",\n    ""Technique ID"": ""T1083"",\n    ""Technique name"": ""File and Directory Discovery"",\n    ""Quotes"": [\n      ""Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect directory traversal attempts, which is a technique used by adversaries to enumerate and access files and directories on a system. This aligns with the T1083 technique \'File and Directory Discovery\' from MITRE ATT&CK.""\n  }\n]', type='text')]","['T1204', 'T1190', 'T1083', 'T1659', 'T1211', 'T1595', 'T1565']","['T1204', 'T1190']",['T1083'],['T1083'],['T1567']
48402,"[TextBlock(text='[\n  {\n    ""sid"": ""48402"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic with specific patterns, which is an application layer protocol. This technique is relevant because adversaries may use application layer protocols like HTTP to blend in with normal traffic and avoid detection.""\n  },\n  {\n    ""sid"": ""48402"", \n    ""Technique ID"": ""T1090"",\n    ""Technique name"": ""Proxy"",\n    ""Quotes"": [\n      ""Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure""\n    ],\n    ""Explanation"": ""The Snort rule is looking for outbound connections, which could potentially be going through a proxy. This technique is relevant because adversaries may use proxies to obfuscate their command and control infrastructure and avoid direct connections.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""48402"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic with specific patterns, which is an application layer protocol. This technique is relevant because adversaries may use application layer protocols like HTTP to blend in with normal traffic and avoid detection.""\n  },\n  {\n    ""sid"": ""48402"", \n    ""Technique ID"": ""T1090"",\n    ""Technique name"": ""Proxy"",\n    ""Quotes"": [\n      ""Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure""\n    ],\n    ""Explanation"": ""The Snort rule is looking for outbound connections, which could potentially be going through a proxy. This technique is relevant because adversaries may use proxies to obfuscate their command and control infrastructure and avoid direct connections.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""48402"",\n    ""Technique ID"": ""T1071"",\n    ""Technique name"": ""Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic""\n    ],\n    ""Explanation"": ""The Snort rule is looking for HTTP traffic with specific patterns, which is an application layer protocol. This technique is relevant because adversaries may use application layer protocols like HTTP to blend in with normal traffic and avoid detection.""\n  },\n  {\n    ""sid"": ""48402"", \n    ""Technique ID"": ""T1090"",\n    ""Technique name"": ""Proxy"",\n    ""Quotes"": [\n      ""Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure""\n    ],\n    ""Explanation"": ""The Snort rule is looking for outbound connections, which could potentially be going through a proxy. This technique is relevant because adversaries may use proxies to obfuscate their command and control infrastructure and avoid direct connections.""\n  }\n]', type='text')]","['T1071', 'T1568', 'T1041', 'T1090', 'T1219', 'T1008', 'T1020', 'T1571', 'T1027']","['T1219', 'T1071']","['T1071', 'T1090']","['T1071', 'T1090']",['T1041']
1443,"[TextBlock(text='[\n  {\n    ""sid"": ""1443"",\n    ""Technique ID"": ""T1005"",\n    ""Technique name"": ""Data from Local System"",\n    ""Quotes"": [\n      ""Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to retrieve the \'passwd\' file using the TFTP protocol, which suggests an adversary is trying to access sensitive data from the local file system.""\n  },\n  {\n    ""sid"": ""1443"", \n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The TFTP protocol can be used to transfer files, including scripts or binaries, which could potentially be used to execute commands or scripts on the compromised system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1443"",\n    ""Technique ID"": ""T1005"",\n    ""Technique name"": ""Data from Local System"",\n    ""Quotes"": [\n      ""Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to retrieve the \'passwd\' file using the TFTP protocol, which suggests an adversary is trying to access sensitive data from the local file system.""\n  },\n  {\n    ""sid"": ""1443"", \n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The TFTP protocol can be used to transfer files, including scripts or binaries, which could potentially be used to execute commands or scripts on the compromised system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1443"",\n    ""Technique ID"": ""T1005"",\n    ""Technique name"": ""Data from Local System"",\n    ""Quotes"": [\n      ""Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to Exfiltration""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an attempt to retrieve the \'passwd\' file using the TFTP protocol, which suggests an adversary is trying to access sensitive data from the local file system.""\n  },\n  {\n    ""sid"": ""1443"", \n    ""Technique ID"": ""T1059"",\n    ""Technique name"": ""Command and Scripting Interpreter"",\n    ""Quotes"": [\n      ""Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries""\n    ],\n    ""Explanation"": ""The TFTP protocol can be used to transfer files, including scripts or binaries, which could potentially be used to execute commands or scripts on the compromised system.""\n  }\n]', type='text')]","['T1552', 'T1052', 'T1105', 'T1059', 'T1110', 'T1083', 'T1212', 'T1087', 'T1040', 'T1046', 'T1005', 'T1070', 'T1082', 'T1007']","['T1059', 'T1070']","['T1005', 'T1059']","['T1005', 'T1059']",['T1213']
54793,"[TextBlock(text='[\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1095"",\n    ""Technique Name"": ""Non-Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network""\n    ],\n    ""Explanation"": ""The Snort rule is detecting inbound connections using a non-standard protocol, which could be a non-application layer protocol used for command and control communication.""\n  },\n  {\n    ""sid"": ""54793"", \n    ""Technique ID"": ""T1001"",\n    ""Technique Name"": ""Data Obfuscation"",\n    ""Quotes"": [\n      ""Adversaries may obfuscate command and control traffic to make it more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is using a PCRE to detect obfuscated data patterns, which could be an indication of obfuscated command and control traffic.""\n  },\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1132"",\n    ""Technique Name"": ""Data Encoding"",\n    ""Quotes"": [\n      ""Adversaries may encode data to make the content of command and control traffic more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is looking for specific encoded data patterns, which could be an indication of encoded command and control traffic.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1095"",\n    ""Technique Name"": ""Non-Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network""\n    ],\n    ""Explanation"": ""The Snort rule is detecting inbound connections using a non-standard protocol, which could be a non-application layer protocol used for command and control communication.""\n  },\n  {\n    ""sid"": ""54793"", \n    ""Technique ID"": ""T1001"",\n    ""Technique Name"": ""Data Obfuscation"",\n    ""Quotes"": [\n      ""Adversaries may obfuscate command and control traffic to make it more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is using a PCRE to detect obfuscated data patterns, which could be an indication of obfuscated command and control traffic.""\n  },\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1132"",\n    ""Technique Name"": ""Data Encoding"",\n    ""Quotes"": [\n      ""Adversaries may encode data to make the content of command and control traffic more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is looking for specific encoded data patterns, which could be an indication of encoded command and control traffic.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1095"",\n    ""Technique Name"": ""Non-Application Layer Protocol"",\n    ""Quotes"": [\n      ""Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network""\n    ],\n    ""Explanation"": ""The Snort rule is detecting inbound connections using a non-standard protocol, which could be a non-application layer protocol used for command and control communication.""\n  },\n  {\n    ""sid"": ""54793"", \n    ""Technique ID"": ""T1001"",\n    ""Technique Name"": ""Data Obfuscation"",\n    ""Quotes"": [\n      ""Adversaries may obfuscate command and control traffic to make it more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is using a PCRE to detect obfuscated data patterns, which could be an indication of obfuscated command and control traffic.""\n  },\n  {\n    ""sid"": ""54793"",\n    ""Technique ID"": ""T1132"",\n    ""Technique Name"": ""Data Encoding"",\n    ""Quotes"": [\n      ""Adversaries may encode data to make the content of command and control traffic more difficult to detect""\n    ],\n    ""Explanation"": ""The Snort rule is looking for specific encoded data patterns, which could be an indication of encoded command and control traffic.""\n  }\n]', type='text')]","['T1071', 'T1573', 'T1568', 'T1090', 'T1572', 'T1059', 'T1219', 'T1095', 'T1001', 'T1132']","['T1219', 'T1071']","['T1095', 'T1001', 'T1132']",['T1001'],['T1094']
18434,"[TextBlock(text='[\n  {\n    ""sid"": ""18434"",\n    ""Technique ID"": ""T1203"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [\n      ""Adversaries may exploit software vulnerabilities in client applications to execute code""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an exploit attempt targeting a vulnerability in Adobe Acrobat Reader\'s ace.dll plugin, which could allow an adversary to execute code on the client system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""18434"",\n    ""Technique ID"": ""T1203"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [\n      ""Adversaries may exploit software vulnerabilities in client applications to execute code""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an exploit attempt targeting a vulnerability in Adobe Acrobat Reader\'s ace.dll plugin, which could allow an adversary to execute code on the client system.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""18434"",\n    ""Technique ID"": ""T1203"",\n    ""Technique name"": ""Exploitation for Client Execution"",\n    ""Quotes"": [\n      ""Adversaries may exploit software vulnerabilities in client applications to execute code""\n    ],\n    ""Explanation"": ""The Snort rule is designed to detect an exploit attempt targeting a vulnerability in Adobe Acrobat Reader\'s ace.dll plugin, which could allow an adversary to execute code on the client system.""\n  }\n]', type='text')]","['T1195', 'T1218', 'T1106', 'T1059', 'T1505', 'T1055', 'T1203', 'T1211', 'T1047', 'T1547', 'T1189']","['T1505', 'T1189']",['T1203'],['T1203'],['T1574']
1444,"[TextBlock(text='[\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1105"",\n    ""Technique name"": ""Ingress Tool Transfer"",\n    ""Quotes"": [\n      ""Adversaries may transfer tools or other files from an external system into a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule detects TFTP GET requests from an external network to the internal network, which could indicate an adversary attempting to transfer tools or malware into the compromised environment.""\n  },\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule monitors for TFTP GET requests from external networks, which could be an attempt to exploit a public-facing TFTP service to gain initial access to the network.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1105"",\n    ""Technique name"": ""Ingress Tool Transfer"",\n    ""Quotes"": [\n      ""Adversaries may transfer tools or other files from an external system into a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule detects TFTP GET requests from an external network to the internal network, which could indicate an adversary attempting to transfer tools or malware into the compromised environment.""\n  },\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule monitors for TFTP GET requests from external networks, which could be an attempt to exploit a public-facing TFTP service to gain initial access to the network.""\n  }\n]', type='text')][TextBlock(text='[\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1105"",\n    ""Technique name"": ""Ingress Tool Transfer"",\n    ""Quotes"": [\n      ""Adversaries may transfer tools or other files from an external system into a compromised environment""\n    ],\n    ""Explanation"": ""The Snort rule detects TFTP GET requests from an external network to the internal network, which could indicate an adversary attempting to transfer tools or malware into the compromised environment.""\n  },\n  {\n    ""sid"": ""1444"",\n    ""Technique ID"": ""T1190"",\n    ""Technique name"": ""Exploit Public-Facing Application"",\n    ""Quotes"": [\n      ""Adversaries may attempt to exploit a weakness in an Internet-facing host or system to initially access a network""\n    ],\n    ""Explanation"": ""The Snort rule monitors for TFTP GET requests from external networks, which could be an attempt to exploit a public-facing TFTP service to gain initial access to the network.""\n  }\n]', type='text')]","['T1016', 'T1095', 'T1059', 'T1091', 'T1105', 'T1133', 'T1190', 'T1036', 'T1102', 'T1030', 'T1048']","['T1059', 'T1190']","['T1105', 'T1190']","['T1105', 'T1190']",['T1213']
