Sid,Response,Without_Limit_Prompt_Without_Competition_Without_Limit_Return,Without_Limit_Prompt_Without_Competition_With_Limit_Return,Without_Limit_Prompt_With_Competition_Without_Limit_Return,Without_Limit_Prompt_With_Competition_With_Limit_Return,True_labels
37245,"[
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1001"",
     ""Technique Name"": ""Data Obfuscation"",
     ""Quotes"": ""Adversaries may obfuscate command and control traffic to make it more difficult to detect."",
     ""Explanation"": ""This rule detects attempts to use a web shell to connect to a command and control server. The web shell uses base64 encoding to obfuscate the command and control traffic, making it more difficult to detect.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1100"",
     ""Technique Name"": ""Web Shell"",
     ""Quotes"": ""Adversaries may compromise a host and deploy a web shell to facilitate remote access and control."",
     ""Explanation"": ""This rule detects attempts to use a web shell to connect to a command and control server.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1132"",
     ""Technique Name"": ""Data Encoding"",
     ""Quotes"": ""Adversaries may encode data to make the content of command and control traffic more difficult to detect."",
     ""Explanation"": ""This rule detects attempts to use base64 encoding to obfuscate command and control traffic.""
   }
 ][
     {
         ""sid"": ""37245"",
         ""Technique ID"": ""T1001"",
         ""Technique name"": ""Data Obfuscation"",
         ""Quotes"": ""Adversaries may obfuscate command and control traffic to make it more difficult to detect"",
         ""Explanation"": ""The rule detects web shell activity used by the Chopper backdoor, which is known to obfuscate its traffic to evade detection.""
     },
     {
         ""sid"": ""37245"",
         ""Technique ID"": ""T1100"",
         ""Technique name"": ""Web Shell"",
         ""Quotes"": ""Adversaries may use web shells to interact with web servers and perform advanced actions."",
         ""Explanation"": ""The rule specifically mentions ""web shell connection,"" indicating the use of a web shell for remote access and control.""
     },
     {
         ""sid"": ""37245"",
         ""Technique ID"": ""T1132"",
         ""Technique name"": ""Data Encoding"",
         ""Quotes"": ""Adversaries may encode data to make the content of command and control traffic more difficult to detect"",
         ""Explanation"": ""The rule includes the term ""base64_decode,"" which suggests that the communication may be encoded to hide its true purpose or content.""
     }
 ][
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1001"",
     ""Technique Name"": ""Data Obfuscation"",
     ""Quotes"": ""Adversaries may obfuscate command and control traffic to make it more difficult to detect"",
     ""Explanation"": ""The rule detects malicious traffic where the post data is encoded using base64.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1100"",
     ""Technique Name"": ""Data Exfiltration"",
     ""Quotes"": ""Adversaries may exfiltrate data from a victim system to an external location"",
     ""Explanation"": ""The rule detects data being sent to an external destination.""
   },
   {
     ""sid"": ""37245"",
     ""Technique ID"": ""T1132"",
     ""Technique Name"": ""Data Encoding"",
     ""Quotes"": ""Adversaries may encode data to make the content of command and control traffic more difficult to detect"",
     ""Explanation"": ""The rule detects encoded post data.""
   }
 ]","['T1001', 'T1132']",['T1001'],"['T1001', 'T1100', 'T1132']",['T1001'],"['T1001', 'T1219']"
56606,"
 {}
 [
         ""sid"": ""56606"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
         ""Explanation"": ""The rule detects attempts to communicate with a command and control server known to be associated with the Rat.Tool.CSBundleUSATodayServer malware, which is designed to exfiltrate sensitive information.""
     ][
   {
     ""sid"": ""56606"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over Command and Control Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
     ""Explanation"": ""The rule looks for specific headers and a JSON payload in an HTTP POST request, indicating communication with a remote command and control server.""
   }
 ]","['T1041', 'T1071', 'T1132', 'T1495', 'T1134', 'T1104', 'T1046', 'T1133', 'T1105']","['T1071', 'T1041']",['T1041'],['T1041'],['T1071']
56614,"
 {}
 {}[
         ""sid"": ""56614"",
         ""Technique ID"": ""T1105"",
         ""Technique name"": ""Ingress Tool Transfer"",
         ""Quotes"": ""Adversaries may transfer tools or other files from an external system into a compromised environment"",
         ""Explanation"": ""This rule detects an attempt by Cobalt Strike to establish a beacon connection through an HTTP POST request.""
     ],
     [
         ""sid"": ""56614"",
         ""Technique ID"": ""T1219"",
         ""Technique name"": ""Remote Access Software"",
         ""Quotes"": ""An adversary may use legitimate desktop support and remote access software to establish an interactive command and control channel to target systems within networks"",
         ""Explanation"": ""Cobalt Strike is a legitimate penetration testing tool that can be used by adversaries to gain remote access to systems for malicious purposes.""
     ]","['T1105', 'T1202', 'T1219', 'T1486', 'T1071', 'T1083']","['T1219', 'T1071']","['T1105', 'T1219']","['T1105', 'T1219']",['T1083']
12372,"[
   {
     ""sid"": ""12372"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information"",
     ""Explanation"": ""This rule identifies the presence of the mg-shadow keylogger, which captures keystrokes, including login credentials.""
   }
 ]
 {}
 [
     ""sid"": ""12372"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information."",
     ""Explanation"": ""This rule detects a specific keylogger, MG-Shadow 2.0, which captures keystrokes.""
 ]","['T1113', 'T1593', 'T1056', 'T1564', 'T1562', 'T1114']","['T1056', 'T1593']",['T1056'],['T1056'],['T1056']
59348,"[
         ""sid"": ""59348"",
         ""Technique ID"": ""T1040"",
         ""Technique name"": ""Network Sniffing"",
         ""Quotes"": ""Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network."",
         ""Explanation"": ""This rule looks for outbound connections from a web shell to a remote server. Web shells are often used by adversaries to maintain persistent access to a compromised system, and network sniffing can be used to capture sensitive information such as passwords or other credentials.""
     ][
   {
     ""sid"": ""59348"",
     ""Technique ID"": ""T1486"",
     ""Technique name"": ""Data Encrypted for Impact"",
     ""Quotes"": ""Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources."",
     ""Explanation"": ""This rule triggers when malware attempts to send data encrypted with CWShell, which could lead to data loss and system disruption""
   }
 ][
   {
     ""sid"": ""59348"",
     ""Technique ID"": ""T1041"",
     ""Technique name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel"",
     ""Explanation"": ""This rule detects outbound connections from a web shell, which could be used to exfiltrate data from the compromised system.""
   }
 ]","['T1572', 'T1040', 'T1204', 'T1486', 'T1041', 'T1056', 'T1571', 'T1135', 'T1218', 'T1059', 'T1140', 'T1189', 'T1190', 'T1083', 'T1105']","['T1189', 'T1204']","['T1040', 'T1486', 'T1041']","['T1040', 'T1486']",['T1505']
39642,"
 {}
 
 {}
 [
   {
     ""sid"": ""39642"",
     ""Technique ID"": ""T1003"",
     ""Technique Name"": ""OS Credential Dumping"",
     ""Quotes"": ""Adversaries may attempt to obtain credentials from memory containing cached credentials, typically for use in pass-the-hash attacks."",
     ""Explanation"": ""This rule looks for attempts to exploit a credential disclosure vulnerability in WebNMS server's 'FetchFile' servlet, which could allow an attacker to obtain sensitive information, including credentials, from the server's 'securitydbData.xml' file.""
   }
 ]","['T1595', 'T1210', 'T1554', 'T1203', 'T1598', 'T1190', 'T1553', 'T1110', 'T1211']","['T1190', 'T1203']",['T1003'],['T1003'],['T1003']
40238,"[
   {
     ""sid"": ""40238"",
     ""Technique ID"": ""T1041"",
     ""Technique Name"": ""Exfiltration Over C2 Channel"",
     ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
     ""Explanation"": ""This event is generated when activity relating to malware is detected.""
   },
   {
     ""sid"": ""40238"",
     ""Technique ID"": ""T1567"",
     ""Technique Name"": ""Exfiltration Over Web Service"",
     ""Quotes"": ""Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel."",
     ""Explanation"": ""The rule looks for outbound communication to a specific web service (/post.php) with HTTP request parameters that resemble data exfiltration, such as 'type', 'hwid', 'pcname', 'username', and 'password'.""
   },
   {
     ""sid"": ""40238"",
     ""Technique ID"": ""T1011"",
     ""Technique Name"": ""Exfiltration Over Other Network Medium"",
     ""Quotes"": ""Adversaries may attempt to exfiltrate data over a different network medium than the command and control channel."",
     ""Explanation"": ""The rule looks for exfiltration attempts over HTTP.""
   }
 ][
     {
         ""sid"": ""40238"",
         ""Technique ID"": ""T1041"",
         ""Technique name"": ""Exfiltration Over C2 Channel"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over an existing command and control channel."",
         ""Explanation"": ""This event is generated when activity relating to malware is detected, specifically, a Win.Keylogger.AgentTesla variant attempting to establish outbound connections and exfiltrate data.""
     }
 ][
     ""sid"": ""40238"",
     ""Technique ID"": ""T1567"",
     ""Technique name"": ""Exfiltration Over Web Service"",
     ""Quotes"": ""Adversaries may use an existing, legitimate external Web service to exfiltrate data rather than their primary command and control channel."",
     ""Explanation"": ""The rule detects exfiltration attempts by the AgentTesla keylogger, which uses HTTP POST requests to send stolen information to a remote web server.""
 ]","['T1056', 'T1567', 'T1041', 'T1014', 'T1105', 'T1106', 'T1218', 'T1221', 'T1012', 'T1534', 'T1011']","['T1056', 'T1014']","['T1041', 'T1567', 'T1011']","['T1041', 'T1567']",['T1056']
29918,"[
     ""sid"": ""29918"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
     ""Explanation"": ""This event is generated when exfiltration of system information by malware (Vacky) is detected.""
 ][
         ""sid"": ""29918"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information."",
         ""Explanation"": ""This rule looks for a Win.Keylogger.Vacky that discloses system information by monitoring and recording user input.""
     ]
 {}
 ","['T1056', 'T1592', 'T1001', 'T1132', 'T1578']","['T1056', 'T1001']",['T1056'],['T1056'],['T1056']
13236,"[
         ""sid"": ""13236"",
         ""Technique ID"": ""T1114"",
         ""Technique name"": ""Email Collection"",
         ""Quotes"": ""Adversaries may attempt to target user email to collect sensitive information using techniques such as phishing."",
         ""Explanation"": ""This rule detects emails containing suspicious content that is consistent with keylogger activity.""
     ][
         ""sid"": ""13236"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": ""Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. This rule identifies the presence of a keylogger (Keylogger 3.9.2), which captures user input and sends it via email."",
         ""Explanation"": ""This event is generated when activity is detected when keylogger 3.9.2 is active.""
     ]
 {}
 ","['T1113', 'T1553', 'T1056', 'T1046', 'T1497', 'T1114']","['T1056', 'T1046']","['T1114', 'T1056']","['T1114', 'T1056']",['T1056']
47399,"[
     ""sid"": ""47399"",
     ""Technique ID"": ""T1064"",
     ""Technique name"": ""Shell"",
     ""Quotes"": """"Adversaries may use Shell commands to interact with a host's underlying operating system"""",
     ""Explanation"": ""This rule detects outbound shell attempts and specifically mentions cmd.exe, a common shell used in Windows operating systems.""
 ][
   {
     ""sid"": ""47399"",
     ""Technique ID"": ""T1040"",
     ""Technique Name"": ""Network Service Scanning"",
     ""Quotes"": ""\""Network Service Scanning involves conducting reconnaissance activities to identify and gather information on network hosts, services, and vulnerabilities that could be targeted for exploitation.\"""",
     ""Explanation"": ""The rule is triggered when an outbound attempt to establish a command shell on Microsoft Windows XP is detected, indicating a potential network reconnaissance activity.""
   },
   {
     ""sid"": ""47399"",
     ""Technique ID"": ""T1064"",
     ""Technique Name"": ""Port Scanning"",
     ""Quotes"": ""\""Port Scanning refers to the iterative process of connecting to a range of IP addresses and ports on a target host to identify open and listening ports, which can reveal services running on the host and potential vulnerabilities or misconfigurations.\"""",
     ""Explanation"": ""The rule is triggered by an attempt to establish a command shell on a specific port, indicating a port scanning activity.""
   }
 ]
 {}
 ","['T1497', 'T1046', 'T1021', 'T1059', 'T1106', 'T1041', 'T1071', 'T1048', 'T1074', 'T1083']","['T1071', 'T1021']","['T1064', 'T1040']","['T1064', 'T1040']",['T1059']
7180,"
 {}
 [
   {
     ""sid"": ""7180"",
     ""Technique ID"": ""T1056"",
     ""Technique name"": ""Input Capture"",
     ""Quotes"": ""Adversaries may use methods of capturing user input to obtain credentials or collect information."",
     ""Explanation"": ""This rule specifically detects connections made by Keylogger desktop detective 2000, a known keylogger.""
   }
 ][
         ""sid"": ""7180"",
         ""Technique ID"": ""T1056"",
         ""Technique name"": ""Input Capture"",
         ""Quotes"": """"Input Capture techniques involve intercepting and capturing user input data, such as keystrokes, to obtain sensitive information. This rule is for detecting Keylogger desktop detective 2000 runtime detection"""",
         ""Explanation"": ""This rule looks for a client connection initiated by the malware 'Keylogger desktop detective 2000'.""
     ]","['T1056', 'T1218', 'T1047', 'T1114']","['T1056', 'T1218']",['T1056'],['T1056'],['T1056']
56617,"
 {}
 
 {}
 [
     {
         ""sid"": ""56617"",
         ""Technique ID"": ""T1048"",
         ""Technique name"": ""Exfiltration Over Alternative Protocol"",
         ""Quotes"": ""Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel"",
         ""Explanation"": ""Cobalt Strike is a well-known adversary tool used for post-exploitation. One of its features is the use of an encrypted (""beacon"") channel over HTTP for C2 communication. This rule detects inbound beacon connections, indicating a potential exfiltration attempt over an alternative protocol (HTTP) that is commonly abused for C2 purposes.""
     },
     {
         ""sid"": ""56617"",
         ""Technique ID"": ""T1132"",
         ""Technique name"": ""Data Encoding"",
         ""Quotes"": ""Adversaries may encode data to make the content of command and control traffic more difficult to detect"",
         ""Explanation"": ""Cobalt Strike's beacon communication is encrypted, making it difficult to detect and analyze the content of the C2 traffic. This is consistent with the use of data encoding techniques to evade detection.""
     }
 ]","['T1132', 'T1571', 'T1048', 'T1484', 'T1071', 'T1106', 'T1105', 'T1133', 'T1140']","['T1071', 'T1571']","['T1048', 'T1132']","['T1048', 'T1132']",['T1102']
19172,"[
   {
     ""sid"": ""19172"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule detects an exploit in Microsoft Internet Explorer 8 that uses the 'ieshims.dll' to load malicious code. This technique is commonly used in drive-by compromise attacks, where a user is tricked into visiting a malicious website that delivers the exploit.""
   }
 ]
 {}
 [
   {
     ""sid"": ""19172"",
     ""Technique ID"": ""T1189"",
     ""Technique name"": ""Drive-by Compromise"",
     ""Quotes"": ""Adversaries may gain access to a system through a user visiting a website over the normal course of browsing"",
     ""Explanation"": ""This rule looks for an exploit attempt against a vulnerability in Microsoft Internet Explorer 8 ieshims.dll that could allow remote code execution via a specially crafted website.""
   }
 ]","['T1190', 'T1189', 'T1543', 'T1068', 'T1203']","['T1189', 'T1190']",['T1189'],['T1189'],['T1574']
