Technique_id,True_labels
['T1566.001'],['T1068']
['T1071.001'],['T1220']
['T1602'],"['T1020', 'T1071']"
['T1190'],"['T1505', 'T1219']"
['T1190'],['T1203']
['T1071.001'],['T1220']
['T1071.001'],['T1220']
['T1046'],['T1070']
"['T1071', 'T1071.001']",['T1571']
['T1047'],['T1003']
"['T1505.003', 'T1505.003']",['T1048']
['T1190'],['T1197']
"['T1203', 'T1203']",['T1070']
"['T1003.008', 'T1005']",['T1166']
['T1568.002'],['T1574']
['T1203'],['T1595']
['T1197'],['T1133']
['T1021.001'],['T1133']
"['T1211', 'T1565', 'T1565', 'T1573']",['T1102']
"['T1592', 'T1592']",['T1571']
['T1003.003'],['T1559']
['T1552.004'],['T1106']
['T1203'],['T1005']
['T1197'],['T1047']
['T1190'],['T1001']
['T1068'],['T1574']
['T1071.001'],['T1559']
['T1190'],['T1219']
['T1557.002'],['T1213']
['T1550'],['T1518']
['T1571'],['T1119']
['T1566.001'],['T1197']
['T1203'],['T1571']
['T1190'],['T1592']
['T1190'],['T1571']
['T1082'],['T1047']
['T1071.001'],['T1485']
['T1087'],['T1072']
['T1055'],['T1005']
['T1133.001'],['T1203']
"['T1595', 'T1595']",['T1087']
['T1552'],['T1568']
['T1139'],['T1047']
['T1132'],['T1197']
['T1100'],['T1482']
['T1100'],['T1046']
['T1190'],['T1154']
"['T1190', 'T1073', 'T1190', 'T1073', 'T1073']",['T1003']
['T1566.002'],['T1003']
['T1133'],['T1203']
