Rule,technique ids
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger/RAT digi watcher 2.32 runtime detection""; flow:to_server,established; content:""From|3A|"",nocase; content:""Digi-Watcher.com"",distance 0,nocase; pcre:""/^From\x3A[^\r\n]*Digi\x2DWatcher\x2Ecom/ims""; flowbits:set,DigiWatcher232_detection; flowbits:noalert; metadata:policy max-detect-ips alert; service:smtp; classtype:successful-recon-limited; sid:12758; rev:7; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP phpBB mod shoutbox sql injection attempt""; flow:to_server,established; http_uri; content:""shoutbox_view.php"",fast_pattern,nocase; content:""mode="",nocase; content:""id="",nocase; pcre:""/shoutbox_view\.php\x3F[^\r\n]*mode\s*=\s*(delete|edit)[^\r\n]*id\s*=\s*[^\r\n\x26]*[^\d]+/ims""; metadata:policy max-detect-ips drop; service:http; classtype:web-application-attack; sid:15424; rev:13; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_header; content:""jndi"",fast_pattern,nocase; pcre:""/(%(25)?24|\x24)(%(25)?7b|\x7b)jndi(%(25)?3a|\x3a)/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; gid:1; sid:58737; rev:5; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger runtime detection - hwae keystrokes log""; flow:to_server,established; content:""Subject|3A| "",nocase; content:""HWAE Keystrokes LOG"",distance 0,nocase; service:smtp; classtype:successful-recon-limited; sid:5783; rev:9; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP F5 Networks FirePass my.activation.php3 state parameter sql injection attempt""; flow:to_server,established; http_uri; content:""/my.activation.php3"",fast_pattern,nocase; content:""state="",nocase; pcre:""/[?&]state=[^&]*?[\x22\x27]/i""; metadata:policy max-detect-ips drop; service:http; classtype:attempted-admin; sid:24517; rev:5; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Perl webshell upload attempt""; flow:to_server,established; file_data; content:""|89|PNG|0D 0A 1A 0A|"",depth 8; content:""/usr/bin/perl"",distance 0,nocase; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:attempted-user; sid:49452; rev:2; )",['T1190']
"alert tcp $HOME_NET $HTTP_PORTS -> $EXTERNAL_NET any ( msg:""MALWARE-CNC Php.Webshell.Antichat outbound connection attempt""; flow:to_client,established; file_data; content:""<a href|3D 22 23 22| onclick|3D 22|document|2E|reqs|2E|action|2E|value|3D 27|shell|27 3B|"",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:59024; rev:1; )",['T1505']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 21 ( msg:""MALWARE-OTHER Keylogger winsession runtime detection - ftp""; flow:to_server,established; content:""_WinSession Logger.clk"",fast_pattern,nocase; service:ftp; classtype:successful-recon-limited; sid:6208; rev:11; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger computer monitor Keylogger runtime detection""; flow:to_server,established; content:""X-Mailer|3A|"",nocase; content:""Computer"",distance 0,nocase; content:""Monitor"",distance 0,nocase; content:""Keylogger"",distance 0,nocase; pcre:""/^X-Mailer\x3a[^\r\n]*Computer[^\r\n]*Monitor[^\r\n]*Keylogger/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:11307; rev:10; )",['T1056']
"alert tcp $HOME_NET $HTTP_PORTS -> $EXTERNAL_NET any ( msg:""MALWARE-CNC JSP.Webshell.JSPShell outbound connection""; flow:to_client,established; file_data; content:""<FORM METHOD=|22|GET|22| NAME=|22|myform|22|"",fast_pattern,nocase; content:""<INPUT TYPE=|22|text|22| NAME=|22|cmd|22|>"",within 60,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; gid:1; sid:61074; rev:1; )",['T1505']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP Tridium Niagara default administrator account login attempt""; flow:to_server,established; http_uri; content:""/niagara/"",fast_pattern,nocase; pkt_data; content:""Authorization|3A|"",nocase; content:""Basic"",distance 0,nocase; base64_decode:bytes 64,offset 0,relative; base64_data; pcre:""/^administrator\x3a\x20$/""; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:attempted-admin; sid:48740; rev:2; )",['T1078']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger inside website logger 2.4 runtime detection""; flow:to_server,established; content:""Subject|3A| Email Reports from Inside Website Logger"",fast_pattern,nocase; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:smtp; classtype:successful-recon-limited; sid:12480; rev:6; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_client_body; content:""%24%257b"",fast_pattern,nocase; pcre:""/%24%257b.{0,200}(%(25)?24|\x24)(%(25)?7b|\x7b).{0,200}(%(25)?3a|\x3a)(%(25)?(27|2d|5c|22)|[\x27\x2d\x5c\x22])*([jndi\x7d\x3a\x2d]|(%(25)?(7d|3a|2d))|(%(25)?5c|\x5c)u00[a-f0-9]{2}){1,4}(%(25)?(22|27)|[\x22\x27])?(%(25)?(3a|7d)|[\x3a\x7djndi])/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; sid:58787; rev:4; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET 868 ( msg:""MALWARE-OTHER Keylogger ab system spy runtime detection - log retrieve""; flow:to_server,established; content:""Send me the logs, please""; flowbits:set,ABSystemSpy_LogRetrieve; flowbits:noalert; classtype:successful-recon-limited; sid:7175; rev:6; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger email spy monitor 6.9 runtime detection""; flow:to_server,established; flowbits:isset,EmailSpyMonitor_detection; content:""<title>"",nocase; content:""Email"",distance 0,nocase; content:""Spy"",distance 0,nocase; content:""Monitor"",distance 0,nocase; content:""Logging"",distance 0,nocase; content:""Report"",distance 0,nocase; content:""</title>"",distance 0,nocase; pcre:""/\x3CTitle\x3EEmail\s+Spy\s+Monitor\s+Logging\s+Report\x3C\x2Ftitle\x3E/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13281; rev:6; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP handler access""; flow:to_server,established; http_uri; content:""/handler"",fast_pattern,nocase; metadata:ruleset community; service:http; classtype:web-application-activity; sid:1141; rev:19; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP NetGear router default password login attempt admin/password""; flow:to_server,established; http_header; content:""Authorization|3A|"",nocase; content:""YWRtaW46cGFzc3dvcmQ"",nocase; pcre:""/^Authorization\x3a(\s*|\s*\r?\n\s+)Basic\s+YWRtaW46cGFzc3dvcmQ/ims""; metadata:ruleset community; service:http; T1078; classtype:default-login-attempt; sid:2230; rev:17; )",['T1078']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger gurl watcher runtime detection""; flow:to_server,established; content:""X-Mailer|3A| GURL Watcher"",fast_pattern,nocase; service:smtp; classtype:successful-recon-limited; sid:5777; rev:10; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP TextPortal admin.php default password admin attempt""; flow:to_server,established; http_uri; content:""/admin.php""; pkt_data; content:""op=admin_enter""; content:""password=admin"",fast_pattern,nocase; metadata:ruleset community; service:http; T1078; classtype:web-application-activity; sid:2145; rev:12; )",['T1078']
"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP cat_ access""; flow:to_server,established; http_uri; content:""cat "",fast_pattern,nocase; metadata:policy max-detect-ips drop,ruleset community; service:http; classtype:attempted-recon; sid:1147; rev:21; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger refog Keylogger runtime detection""; flow:to_server,established; content:""Content-Type|3A|"",nocase; content:""NextPart_2"",nocase; content:""<TIT=|0D 0A|LE>REFOG log</TITLE>"",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13812; rev:9; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP McAfee ePO DisplayMSAPropsDetail.do sql injection attempt""; flow:to_server,established; http_uri; content:""/EPOAGENTMETA/DisplayMSAPropsDetail.do"",depth 38,fast_pattern; pkt_data; content:""uid|3D|""; pcre:""/uid\x3D\d{0,10}?[A-Za-z\x3B\x25]/""; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:attempted-admin; sid:29609; rev:3; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger smart pc Keylogger runtime detection""; flow:to_server,established; content:""Subject|3A| Smart PC Keylogger - Log File Mailing"",fast_pattern,nocase; content:""X-Mailer|3A| Smart PC Keylogger"",nocase; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13494; rev:8; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET 456 ( msg:""MALWARE-OTHER Keylogger win32.remotekeylog.b runtime detection""; flow:to_server,established; content:""info"",depth 4,nocase; flowbits:set,Win32.RemoteKeylog.b.info; flowbits:noalert; metadata:policy max-detect-ips alert; classtype:successful-recon-limited; sid:10097; rev:7; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Keylogger kamyab Keylogger v.3 runtime detection""; flow:to_server,established; http_uri; content:""/ahmad.php"",nocase; http_header; content:""Host|3A|"",nocase; content:""www.kamyab-hack.com"",distance 0,fast_pattern,nocase; metadata:policy max-detect-ips drop; service:http; classtype:successful-recon-limited; sid:16129; rev:9; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Ransomware.X-Mas variant keylogger outbound connection""; flow:to_server,established; http_uri; content:""/gate.php?"",fast_pattern,nocase; http_client_body; content:""|3C|br|3E 3C|br|3E 3C|b|3E 3C|big|3E 3C|font color=|22|""; content:""|22 3E 20 5B|"",within 12; http_header; content:!""Accept-""; content:!""Referer""; metadata:impact_flag red,ruleset community; service:http; T1056; classtype:trojan-activity; sid:41444; rev:4; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger family cyber alert runtime detection - smtp traffic for recorded activities""; flow:to_server,established; content:""thread-index|3A| Acio"",nocase; content:""Subject|3A| Email from Family Cyber Alert"",fast_pattern,nocase; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13651; rev:9; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET any ( msg:""MALWARE-CNC Unix.Trojan.Vpnfilter plugin variant connection attempt""; flow:to_client,established; content:""|00 AC D3 62 78 26 76 31 E5 E7 E5 1D C2 3C 15 40 25 2F 90 BD 1F 7F 0E 5E 33 77 EC 0C 1E 6B 61 47|"",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; T1176; classtype:trojan-activity; sid:47377; rev:2; )",['T1176']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Php.Webshell.Generic upload attempt""; flow:to_server,established; file_data; content:""<?""; content:""function deltree($deldir) "",fast_pattern,nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:59094; rev:1; )",['T1505']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP Microsoft Exchange autodiscover server side request forgery attempt""; flow:to_server,established; http_uri; content:""/autodiscover"",fast_pattern,nocase; http_client_body; content:""Email"",nocase; content:""Content-Disposition"",nocase; pcre:""/name\s*=\s*[\x22\x27]?Email((?!^--).)*?[\r\n]{2,}((?!^--).)*?\x2fautodiscover/ims""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-admin; gid:1; sid:57908; rev:6; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger findnot guarddog 4.0 runtime detection""; flow:to_server,established; flowbits:isset,FindNotGuardDog_detection; content:""X-Mailer|3A|"",nocase; content:""FindNot"",distance 0,nocase; content:""GuardDog"",distance 0,nocase; pcre:""/^X\x2DMailer\x3A[^\r\n]*FindNot\s+GuardDog/ims""; metadata:policy max-detect-ips drop; service:smtp; classtype:successful-recon-limited; sid:13480; rev:6; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger ardamax keylogger runtime detection - smtp""; flow:to_server,established; content:""X-Mailer|3A|"",nocase; content:""ATL"",distance 0,nocase; content:""CSmtp"",distance 0,nocase; content:""Class"",distance 0,nocase; content:""Mailer"",distance 0,nocase; content:""by"",distance 0,nocase; content:""Robert"",distance 0,nocase; content:""Simpson"",distance 0,nocase; pcre:""/^X-Mailer\x3A[^\r\n]*ATL\s+CSmtp\s+Class\s+Mailer\s+by\s+Robert\s+Simpson\s+\x28robert\x40blackcastlesoft\x2Ecom\x29/ims""; service:smtp; classtype:successful-recon-limited; sid:7551; rev:9; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 20 ( msg:""MALWARE-OTHER Keylogger actualspy runtime detection - ftp-data""; flow:to_client,established; content:""<title>"",nocase; content:""Actual"",distance 0,nocase; content:""Spy"",distance 0,nocase; content:""software"",distance 0,nocase; content:""report"",distance 0,nocase; content:""</title>"",distance 0,nocase; pcre:""/\<title\>Actual\s+Spy\s+software\s+report\<\x2Ftitle\>/ims""; classtype:successful-recon-limited; sid:7504; rev:10; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger activitylogger runtime detection""; flow:to_server,established; content:""X-Mailer|3A| SoftActivity Mailer"",fast_pattern,nocase; service:smtp; classtype:successful-recon-limited; sid:5742; rev:11; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET 27665 ( msg:""MALWARE-OTHER Trin00 Attacker to Master default startup password""; flow:to_server,established; content:""betaalmostdone""; metadata:ruleset community; T1078; classtype:attempted-dos; sid:233; rev:11; )",['T1078']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 21 ( msg:""MALWARE-CNC Win.Trojan.FTPKeyLogger outbound connection""; flow:to_server,established; content:""PASS Goodman1986|0D 0A|"",fast_pattern,nocase; metadata:impact_flag red,ruleset community; service:ftp; T1056; classtype:trojan-activity; sid:38386; rev:3; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP Atlassian Confluence OGNL expression injection attempt""; flow:to_server,established; http_uri; content:""${"",fast_pattern; content:""java"",distance 0; content:""|28|"",distance 0; content:""}"",distance 0; pcre:""/\x24\x7b[^\x7d]*?javax?\x2e[^\x7d]*?\x28/i""; metadata:policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; gid:1; sid:59934; rev:2; )",['T1190']
"alert tcp $HOME_NET 10050 -> $EXTERNAL_NET any ( msg:""MALWARE-OTHER Keylogger win-spy runtime detection - download file server-to-client""; flow:to_client,established; flowbits:isset,winspy_download_client-to-server; content:""/CU"",fast_pattern,nocase; pcre:""/\x2FCU[^\r\n]*\x18\d+\x18\x16/ims""; classtype:successful-recon-limited; sid:7162; rev:9; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Osx.Keylogger.Elite variant outbound connection""; flow:to_server,established; http_uri; content:""/tracking/cm_mac.php"",fast_pattern,nocase; content:""clickid="",nocase; content:""funnel="",nocase; metadata:impact_flag red; service:http; classtype:trojan-activity; sid:41459; rev:3; )",['T1056']
"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC User-Agent known malicious user-agent string - Elite Keylogger""; flow:to_server,established; http_header; content:""User-Agent|3A| installer/"",fast_pattern,nocase; metadata:impact_flag red; service:http; classtype:trojan-activity; sid:41457; rev:4; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_uri; content:""${upper:"",fast_pattern,nocase; pcre:""/\x24{(\x24{(upper|lower):j}|j)(\x24{(upper|lower):n}|n)(\x24{(upper|lower):d}|d)(\x24{(upper|lower):i}|i)(\x24{(upper|lower)::}|:)/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; sid:58729; rev:5; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET 53 ( msg:""PROTOCOL-DNS TCP inverse query""; flow:to_server,established; byte_test:1,<,16,4; byte_test:1,&,8,4; metadata:policy max-detect-ips drop,ruleset community; service:dns; classtype:attempted-recon; sid:2922; rev:12; )",['T1071']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-OTHER Apache Log4j logging remote code execution attempt""; flow:to_server,established; http_client_body; content:""jndi"",fast_pattern,nocase; pcre:""/(%(25)?24|\x24)(%(25)?7b|\x7b)jndi(%(25)?3a|\x3a)/i""; metadata:policy balanced-ips drop,policy connectivity-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community; service:http; classtype:attempted-user; sid:58734; rev:4; )",['T1190']
"alert tcp $HOME_NET any -> $EXTERNAL_NET 25 ( msg:""MALWARE-OTHER Keylogger spyoutside runtime detection - email delivery""; flow:to_server,established; content:""From|3A|"",nocase; content:""SpyOuTSiDe@CurrenTChaoS.Tk"",distance 0,nocase; pcre:""/^From\x3A\s+SpyOuTSiDe\x40CurrenTChaoS\x2ETk/ims""; content:""Subject|3A|"",nocase; content:""SpYOuTSiDe"",distance 0,nocase; content:""transmission"",distance 0,nocase; content:""with"",distance 0,nocase; content:""log"",distance 0,nocase; pcre:""/^Subject\x3A\s+\x5B\d+\x5D\x2D\s+SpYOuTSiDe\s+transmission\s+with\s+log\s+\x2D/ims""; service:smtp; classtype:successful-recon-limited; sid:7837; rev:9; )",['T1056']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""INDICATOR-COMPROMISE PhpSploit backdoor communication attempt""; flow:to_server,established; http_header; content:""JHM9JF9TRVJWRVI7a3NvcnQoJHMpOyR4PSIi"",fast_pattern,nocase; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; sid:50955; rev:1; )",['T1505']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""MALWARE-OTHER Php.Webshell.Cybershell inbound connection attempt""; flow:to_server,established; http_uri; content:"".php?d=/"",fast_pattern,nocase; content:""&diz"",nocase; metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop; service:http; classtype:trojan-activity; gid:1; sid:60300; rev:1; )",['T1505']
"alert tcp $EXTERNAL_NET any -> $HOME_NET 8080 ( msg:""SERVER-WEBAPP Linksys router default username and password login attempt""; flow:to_server,established; content:""YWRtaW46YWRtaW4""; pcre:""/^Authorization\x3a\s*Basic\s+(?-i)YWRtaW46YWRtaW4[=\s]/ims""; metadata:ruleset community; service:http; T1078; classtype:default-login-attempt; sid:1861; rev:18; )",['T1078']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP CA Total Defense management.asmx sql injection attempt""; flow:to_server,established; http_method; content:""POST""; http_uri; content:""/UNCWS/Management.asmx"",fast_pattern,nocase; http_header; content:""SOAP"",nocase; http_client_body; pcre:""/<SelectedID>[^<]+?(\x3B|%3B)/im""; metadata:policy max-detect-ips drop,policy security-ips drop; service:http; classtype:attempted-admin; sid:24705; rev:10; )",['T1190']
"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP Novell ZENworks Asset Management default admin credentials function call attempt""; flow:to_server,established; http_uri; content:""/rtrlet/rtr"",fast_pattern,nocase; content:""username=ivanhoe"",nocase; content:""password=scott"",nocase; metadata:policy max-detect-ips drop; service:http; classtype:attempted-admin; sid:24436; rev:8; )",['T1078']
