Sid,Response,Technique_id,True_labels
619,"
 {
   ""Sid"": ""619"",
   ""Technique ID"": ""T1484"",
   ""Technique Name"": ""Port Scan"",
   ""Quotes"": [
     ""\""Listens for incoming network traffic on a specified port and determines the presence of a host or service on the other end.\""""
   ],
   ""Explanation"": ""The rule is used to detect port scanning activities, which are often used to identify potential vulnerabilities in a network.""
 }
 ",['T1484'],"['T1018', 'T1040', 'T1046']"
622,"
 {
   ""Sid"": ""622"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [
     ""\""Beaconing actions include scanning ports to identify systems with open vulnerabilities.\""""
   ],
   ""Explanation"": ""The rule triggers on SYN packets from external networks to internal networks, which is a common technique used for port scanning.""
 }
 ",['T1190'],"['T1018', 'T1040', 'T1046']"
626,"{
   ""Sid"": ""626"",
   ""Technique ID"": ""T1494"",
   ""Technique Name"": ""Port Scan"",
   ""Quotes"": [
     ""\""content:\""AAAAAAAAAAAAAAAA\"",depth 16\""""
   ],
   ""Explanation"": ""The rule uses the content keyword to match specific data patterns within network traffic. In this case, it looks for the pattern \""AAAAAAAAAAAAAAAA\"" within the first 16 bytes of the packet. This pattern is commonly used by certain port scanning tools to probe for open ports on a target system.""
 }",['T1494'],"['T1018', 'T1040', 'T1046']"
627,"JSON
 {
   ""Sid"": ""627"",
   ""Technique ID"": ""T1195"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for specific patterns and behavior of port scanning activities, which correlates to the T1195 technique in MITRE ATT&CK.""
 }
 ",['T1195'],"['T1018', 'T1040', 'T1046']"
630,"
 {
   ""Sid"": ""630"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [
     ""\""Port scanning refers to the practice of connecting to a range of ports on a device with the goal of finding network services that are running and listening on those ports.\""""
   ],
   ""Explanation"": ""This rule detects port scanning activity by monitoring for a high volume of SYN packets to multiple destination ports from a single source IP address.""
 }
 ",['T1190'],"['T1018', 'T1040', 'T1046']"
634,"JSON
 {
   ""Sid"": ""634"",
   ""Technique ID"": ""T1045"",
   ""Technique Name"": ""Credential Harvesting"",
   ""Quotes"": [
     ""Malicious actors may attempt to leverage Amanda to enumerate valid hostnames and network services.""
   ],
   ""Explanation"": ""Amanda client version request might be used to enumerate valid hostnames and network services.""
 }
 ",['T1045'],"['T1018', 'T1040', 'T1046']"
635,"
 {
   ""Sid"": ""635"",
   ""Technique ID"": ""T1218"",
   ""Technique Name"": ""Brute Force"",
   ""Quotes"": [
     ""Brute force is a common technique used to gain unauthorized access to a system.""
   ],
   ""Explanation"": ""The rule is looking for XTACACS logout requests, which could be used to brute force the credentials of an XTACACS server.""
 }
 ",['T1218'],"['T1018', 'T1040', 'T1046']"
636,"
 {
   ""Sid"": ""636"",
   ""Technique ID"": ""T1048"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [
     ""\""Port scanning can be used to gather information about a target network and identify potential vulnerabilities.""
   ],
   ""Explanation"": ""The rule looks for UDP packets with a destination port of 7 (echo) and a payload containing the string \""cybercop\"". This could be an indication of a port scan using the cybercop tool.""
 }
 ",['T1048'],"['T1018', 'T1040', 'T1046']"
637,"JSON
 {
   ""Sid"": ""637"",
   ""Technique ID"": ""T1498"",
   ""Technique Name"": ""Port Scan"",
   ""Quotes"": [],
   ""Explanation"": ""The rule is looking for a specific pattern of data that is associated with a port scan, which is a common reconnaissance technique used to identify potential targets for attack.""
 }
 ",['T1498'],"['T1018', 'T1040', 'T1046']"
1090,"{
   ""Sid"": ""1090"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when an HTTP request contains the string \""/authenticate.cgi?PASSWORD\"" and the string \""config.ini\"". This suggests that the rule is looking for an attempt to exploit a vulnerability in the Allaire Pro Web Shell, which could allow an attacker to gain access to a web application or server.""
 }",['T1190'],['T1505']
1100,"
 {
   ""Sid"": ""1100"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Network Service Scanning"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on HTTP probes sent from a client to a server. This technique involves sending probes to various ports and services to identify open ports and services on a target network, which can be used to gather information for follow-on attacks.""
 }
 ",['T1190'],"['T1018', 'T1040', 'T1046']"
1101,"
 {
   ""Sid"": ""1101"",
   ""Technique ID"": ""T1191"",
   ""Technique Name"": ""Network Service Scanning"",
   ""Quotes"": [
     ""\""Webtrends Security Analyzer\"" is a well-known tool used to scan for vulnerabilities in web applications.""
   ],
   ""Explanation"": ""The rule triggers when a request with the User-Agent header containing \""Webtrends Security Analyzer\"" is detected. This indicates that a network service scanning activity is taking place, as this tool is commonly used for this purpose.""
 }
 ",['T1191'],"['T1018', 'T1040', 'T1046']"
1122,"
 [
   {
     ""Sid"": ""1122"",
     ""Technique ID"": ""T1087"",
     ""Technique Name"": ""File and Directory Discovery"",
     ""Quotes"": null,
     ""Explanation"": ""The rule looks for attempts to access the /etc/passwd file, which contains user account information on a Linux system. This technique is used to gather information about the system and its users, which can be used to plan further attacks.""
   },
   {
     ""Sid"": ""1122"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploitation for Client Execution"",
     ""Quotes"": null,
     ""Explanation"": ""The rule looks for attempts to access the /etc/passwd file, which could be an attempt to exploit a vulnerability in a web application that allows remote code execution.""
   }
 ]
 ","['T1087', 'T1190']",['T1087']
1129,"
 {
   ""Sid"": ""1129"",
   ""Technique ID"": ""T1484"",
   ""Technique Name"": ""File and Directory Discovery"",
   ""Quotes"": ["".htaccess""],
   ""Explanation"": ""The rule looks for access to a .htaccess file, which is often used to control access to a website's files and directories.""
 }
 ",['T1484'],['T1170']
1133,"
 {
   ""Sid"": ""1133"",
   ""Technique ID"": ""T1196"",
   ""Technique Name"": ""OS Query"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on AAAAAAAAAAAAAAAAA content, indicating an attempt to probe the OS through the HTTP protocol.""
 }
 ",['T1196'],"['T1018', 'T1040', 'T1046']"
1434,"
 {
   ""Sid"": ""1434"",
   ""Technique ID"": ""T1006"",
   ""Technique Name"": ""Command and Scripting Interpreter"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on attempts to access the /.bash_history file, which is a file that stores the user's command history. This technique is often used by attackers to gain access to a system and execute arbitrary commands.""
 }
 ",['T1006'],['T1552']
1638,"{
   ""Sid"": ""1638"",
   ""Technique ID"": ""T1046"",
   ""Technique Name"": ""Port Scanning"",
   ""Quotes"": [
     ""Carries out port scans against external hosts and devices to gather information about specific targets in preparation for exploitation.""
   ],
   ""Explanation"": ""The rule is triggered when an SSH version map attempt is detected, which is a type of port scan used to identify the version of SSH running on a target system. This technique is often used during the reconnaissance phase of an attack to gather information about potential targets.""
 }",['T1046'],"['T1018', 'T1040', 'T1046']"
1817,"
 [
   {
     ""Sid"": ""1817"",
     ""Technique ID"": ""T1078"",
     ""Technique Name"": ""Valid Accounts"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for a login attempt to a web server using a specific URI and credentials. This technique is used to gain access to a system using valid credentials.""
   },
   {
     ""Sid"": ""1817"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Credential Stuffing"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for a login attempt to a web server using a specific URI and credentials. Credential stuffing is a technique used to gain access to a system by trying stolen credentials.""
   }
 ]
 ","['T1078', 'T1110']",['T1078']
1859,"
 {
   ""Sid"": ""1859"",
   ""Technique ID"": ""T1110.002"",
   ""Technique Name"": ""Credential Dumping: Clear Text"",
   ""Quotes"": [
     ""performs credential dumping by sending clear text credentials to an external server.""
   ],
   ""Explanation"": ""The rule looks for an HTTP request to the `/servlet/admin` path with a specific content, which is consistent with the clear text credential dumping technique.""
 }
 ",['T1110.002'],['T1078']
1860,"
 {
   ""Sid"": ""1860"",
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Brute Force"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on HTTP traffic with an Authorization header containing the Basic authentication scheme and the username \""admin\"". This suggests that the attacker is attempting to brute-force the password of a web application or service using the default username \""admin\"".""
 }
 ",['T1110'],['T1078']
1861,"
 {
   ""Sid"": ""1861"",
   ""Technique ID"": ""T1110.002"",
   ""Technique Name"": ""Default Credentials"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for a known default login 'admin:admin' being used for a Linksys router. Default credentials are a common attack vector.""
 }
 ",['T1110.002'],['T1078']
1917,"JSON
 {
   ""Sid"": ""1917"",
   ""Technique ID"": ""T1046"",
   ""Technique Name"": ""Port Scan"",
   ""Quotes"": [
     ""\""Network scanning is the systematic and automated process of probing a network to discover hosts and services.\"""",
     ""\""Port scanning is a type of network scanning that involves sending packets to specific ports on a target host to determine whether the ports are open and listening for connections.\"""",
     ""\""UPnP (Universal Plug and Play) is a protocol that allows devices to automatically discover each other and establish network connections.\"""",
     ""\""UPnP devices often use port 1900 to communicate with each other.\""""
   ],
   ""Explanation"": ""The Snort rule is looking for UDP packets on port 1900 that contain the string \""M-SEARCH ssdp:discover\"". This is a common method for UPnP devices to discover each other on a network. The rule is therefore likely to detect port scans that are targeting UPnP devices.""
 }
 ",['T1046'],"['T1018', 'T1040', 'T1046']"
2041,"JSON
 {
   ""Sid"": ""2041"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Endpoint Denial of Service"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when a client in the home network sends a UDP packet with the data '|80 02|' followed by '|02|' to a destination in the external network. This pattern is associated with the Endpoint Denial of Service (T1190) technique, as it can be used to flood the target with requests, resulting in denial of service.""
 }
 ",['T1190'],"['T1018', 'T1040', 'T1046']"
2043,"
 {
   ""Sid"": ""2043"",
   ""Technique ID"": ""T1595.006"",
   ""Technique Name"": ""Login From Unusual Location"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects failed ISAKMP login attempts, which could indicate an attacker attempting to gain access to a network or system from an unusual location.""
 }
 ",['T1595.006'],"['T1018', 'T1040', 'T1046']"
2145,"
 {
   ""Sid"": ""2145"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for attempts to exploit a default password for the admin.php page of a web application on a server.""
 }
 ",['T1190'],['T1078']
2146,"{
   ""Sid"": ""2146"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when an attacker attempts to exploit a default password vulnerability in the TextPortal admin.php page of a web application. This technique involves exploiting a known vulnerability in a public-facing web application to gain unauthorized access to the system.""
 }",['T1190'],['T1078']
2176,"
 {
   ""Sid"": ""2176"",
   ""Technique ID"": ""T1064"",
   ""Technique Name"": ""Credential Access: Web Services"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects SMB access to a specific folder which could be used to access credentials or other sensitive information.""
 }
 ",['T1064'],['T1547']
2177,"
 {
   ""Sid"": ""2177"",
   ""Technique ID"": ""T1065"",
   ""Technique Name"": ""Network Share Discovery"",
   ""Quotes"": [
     ""\""SMB2\"",depth 5,offset 4""
   ],
   ""Explanation"": ""This rule detects SMB2 traffic accessing the \""startup\"" folder on a remote host, which is often used for persistence and reconnaissance.""
 }
 ",['T1065'],['T1547']
2230,"
 [
   {
     ""Sid"": ""2230"",
     ""Technique ID"": ""T1190"",
     ""Technique Name"": ""Exploit Public-Facing Application"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects an attempt to log in to a NetGear router using the default password 'admin/password'. This technique is used by attackers to gain access to a system by exploiting a vulnerability in a public-facing application.""
   }
 ]
 ",['T1190'],['T1078']
2273,"{
   ""Sid"": ""2273"",
   ""Technique ID"": ""T1110.002"",
   ""Technique Name"": ""Credential Stuffing"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on a brute force login attempt against IMAP protocol. Credential stuffing is a technique where attackers leverage lists of credentials obtained from data breaches to try to compromise user accounts on other websites.""
 }",['T1110.002'],['T1110']
2274,"{
   ""Sid"": ""2274"",
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Brute Force"",
   ""Quotes"": [],
   ""Explanation"": ""The rule is an alert for POP protocol login brute force attempt. This means that the rule will be triggered when there are more than 30 attempts to login to a POP server in a 30-second window. The attacker is trying to guess the password of a user account and will try different combinations of usernames and passwords until he finds the correct one. This technique is commonly associated with brute force attacks.""
 }",['T1110'],['T1110']
2275,"
 [
   {
     ""Sid"": ""2275"",
     ""Technique ID"": ""T1110"",
     ""Technique Name"": ""Brute Force"",
     ""Quotes"": [
       ""\""Authentication unsuccessful\""""
     ],
     ""Explanation"": ""This rule detects a brute force attack on an SMTP server by detecting multiple failed login attempts within a short period of time.""
   }
 ]
 ",['T1110'],['T1110']
2334,"
 {
   ""Sid"": ""2334"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploitation for Proxy Execution"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers on FTP login attempts using the default account, which may indicate an attempt to exploit a vulnerability in the FTP server for proxy execution.""
 }
 ",['T1190'],['T1078']
2406,"{
   ""Sid"": ""2406"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when someone tries to access Telnet with the default credentials of a TENmanUFactoryPOWER device. This technique is related to the rule because it involves exploiting a public-facing application (Telnet) with default credentials.""
 }",['T1190'],['T1078']
2578,"{
   ""Sid"": ""2578"",
   ""Technique ID"": ""T1140"",
   ""Technique Name"": ""Intrusion via Malicious Packet Crafting"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects a UDP packet with an oversized length and an offset of -1, which is a common indicator of a buffer overflow attack. Buffer overflow attacks can be used to execute arbitrary code on a system, which could allow an attacker to gain control of the system.""
 }",['T1140'],['T1097']
2579,"
 {
   ""Sid"": ""2579"",
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers when a TCP packet is received from an external network to a host on the internal network on port 88, and the packet contains the string \""|01 A1|\"" at offset 4. This rule is designed to detect an exploit attempt against a Kerberos server, which is a public-facing application, by looking for an oversized ASN.1 length in the packet.""
 }
 ",['T1110'],['T1097']
3152,"
 {
   ""Sid"": ""3152"",
   ""Technique ID"": ""T1110.005"",
   ""Technique Name"": ""SQL Injection"",
   ""Quotes"": [
     ""content:\""Login failed for user 'sa'\"",fast_pattern,nocase""
   ],
   ""Explanation"": ""The rule looks for failed login attempts to a SQL server using the 'sa' user, which is a common target for SQL injection attacks.""
 }
 ",['T1110.005'],['T1110']
3273,"
 {
   ""Sid"": ""3273"",
   ""Technique ID"": ""T1110.002"",
   ""Technique Name"": ""SQL Injection over Database Management System (DBMS) Protocol"",
   ""Quotes"": [
     ""\""SQL sa brute force failed login unicode attempt\""""
   ],
   ""Explanation"": ""The rule detects SQL injection attempts over the MSSQL DBMS protocol, which is related to the T1110.002 technique.""
 }
 ",['T1110.002'],['T1110']
21282,"
 {
   ""Sid"": ""21282"",
   ""Technique ID"": ""T1118"",
   ""Technique Name"": ""File and Directory Discovery"",
   ""Quotes"": [
     ""\""Searches file systems for files and directories that match specific criteria.\""""
   ],
   ""Explanation"": ""The rule looks for .xsl files which might indicate that the attacker is trying to discover sensitive information from the web server.""
 }
 ",['T1118'],['T1220']
21283,"
 {
   ""Sid"": ""21283"",
   ""Technique ID"": ""T1071"",
   ""Technique Name"": ""Data Encoding"",
   ""Quotes"": [
     ""\""Attaching malicious files using methods like encoding the contents of a malicious file with base64\""""
   ],
   ""Explanation"": ""The rule looks for XSL file attachments which could be used to encode malicious content.""
 }
 ",['T1071'],['T1220']
21284,"
 [
   {
     ""Sid"": ""21284"",
     ""Technique ID"": ""T1139"",
     ""Technique Name"": ""Bypass User Account Control"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects XSL file attachments, which can be used to bypass User Account Control (UAC) by exploiting a vulnerability in Microsoft Office applications.""
   },
   {
     ""Sid"": ""21284"",
     ""Technique ID"": ""T1484"",
     ""Technique Name"": ""Office Application Startup Autostart Extension"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects XSL file attachments, which can be used to execute malicious code via the Office Application Startup Autostart Extension technique.""
   },
   {
     ""Sid"": ""21284"",
     ""Technique ID"": ""T1138"",
     ""Technique Name"": ""Document Object Model (DOM) XSS"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects XSL file attachments, which can be used to perform DOM-based cross-site scripting (XSS) attacks.""
   }
 ]
 ","['T1139', 'T1484', 'T1138']",['T1220']
21285,"{
   ""Sid"": ""21285"",
   ""Technique ID"": ""T1190"",
   ""Technique Name"": ""XSLT Script Processing"",
   ""Quotes"": [
     ""\""The subject downloaded an XSL stylesheet\"""",
     ""\""The actor used Powershell to download a XSL stylesheet from Google Cloud Storage\""""
   ],
   ""Explanation"": ""The rule contains a pcre:'/\x2exslt([\?\x5c\x2f]|$)/ims' that matches requests that contain an .xslt extension, indicating that the rule is looking for XSLT files.""
 }",['T1190'],['T1220']
21286,"
 {
   ""Sid"": ""21286"",
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Data Encrypted for Impact"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for XSLT file attachments, which could be used to exfiltrate data or execute malicious code. Data encryption for impact often involves encrypting data to make it unusable or inaccessible to unauthorized parties.""
 }
 ",['T1110'],['T1220']
21287,"{
   ""Sid"": ""21287"",
   ""Technique ID"": ""T1112"",
   ""Technique Name"": ""Phishing Email"",
   ""Quotes"": [
     ""content:\"".xslt\"""",
     ""content:\""Content-Disposition: attachment|3B|\""""
   ],
   ""Explanation"": ""The rule detects emails with XSLT attachments, which can be used for phishing attacks.""
 }",['T1112'],['T1220']
21442,"
 {
   ""Sid"": ""21442"",
   ""Technique ID"": ""T1110"",
   ""Technique Name"": ""Network Sniffing"",
   ""Quotes"": [],
   ""Explanation"": ""The rule triggers if there is a GET request to a malicious URI, which could indicate network sniffing activity.""
 }
 ",['T1110'],"['T1001', 'T1132']"
22061,"
 {
   ""Sid"": ""22061"",
   ""Technique ID"": ""T1189"",
   ""Technique Name"": ""Malicious Link"",
   ""Quotes"": [
     ""\""content:\""name=|5C 22|Twitter|5C 22| scrolling=|5C 22|auto|5C 22| frameborder=|5C 22|no|5C 22| align=|5C 22|center|5C 22| height = |5C 22|1px|5C 22| width = |5C 22|1px|5C 22|\""""
   ],
   ""Explanation"": ""The rule triggers on malicious IFRAME load attempts, which could be used by attackers to redirect users to malicious websites.""
 }
 ",['T1189'],['T1102']
23481,"
 [
   {
     ""Sid"": ""23481"",
     ""Technique ID"": ""T1027"",
     ""Technique Name"": ""Obfuscated Files or Information"",
     ""Quotes"": [],
     ""Explanation"": ""The rule detects the use of hex escaped characters in a setTimeout call, which is a technique commonly used to obfuscate malicious code and evade detection.""
   },
   {
     ""Sid"": ""23481"",
     ""Technique ID"": ""T1140"",
     ""Technique Name"": ""Obfuscated Command-and-Control"",
     ""Quotes"": [],
     ""Explanation"": ""The rule looks for specific patterns within the setTimeout function, which could potentially be used to establish an obfuscated command-and-control channel.""
   },
   {
     ""Sid"": ""23481"",
     ""Technique ID"": ""T1564.001"",
     ""Technique Name"": ""Hex Encoding"",
     ""Quotes"": [],
     ""Explanation"": ""The rule identifies the presence of hex-encoded characters (\x), which is a common technique for encoding malicious payload or obfuscating communication.""
   }
 ]
 ","['T1027', 'T1140', 'T1564.001']","['T1027', 'T1140']"
23482,"
 {
   ""Sid"": ""23482"",
   ""Technique ID"": ""T1027"",
   ""Technique Name"": ""Obfuscated Files or Information"",
   ""Quotes"": [
     ""\""Hex escaped characters in `addEventListener` call\""""
   ],
   ""Explanation"": ""The rule looks for hex escaped characters in an `addEventListener` call, which is a technique used to obfuscate files or information.""
 }
 ",['T1027'],"['T1027', 'T1140']"
23621,"JSON
 {
   ""Sid"": ""23621"",
   ""Technique ID"": ""T1027"",
   ""Technique Name"": ""Obfuscation"",
   ""Quotes"": [],
   ""Explanation"": ""The rule detects the use of eval(function(p,a,c,k,e,r)), which is a known packer routine used for obfuscation.""
 }
 ",['T1027'],"['T1027', 'T1140']"
23636,"
 {
   ""Sid"": ""23636"",
   ""Technique ID"": ""T1140"",
   ""Technique Name"": ""Obfuscated Files or Information"",
   ""Quotes"": [""""],
   ""Explanation"": ""The rule detects obfuscated JavaScript code that attempts to parse a string into an integer. This technique is often used by malware to evade detection by antivirus software.""
 }
 ",['T1140'],"['T1027', 'T1140']"
25503,"
 {
   ""Sid"": ""25503"",
   ""Technique ID"": ""T1036"",
   ""Technique Name"": ""Masquerading"",
   ""Quotes"": [],
   ""Explanation"": ""The rule looks for malicious activity related to the Necurs Rootkit sba.cgi. The Necurs Rootkit is a malware that uses various techniques to hide its presence on a system, including masquerading as legitimate software or processes.""
 }
 ",['T1036'],['T1014']
25504,"
 {
   ""Sid"": ""25504"",
   ""Technique ID"": ""T1105"",
   ""Technique Name"": ""Command and Control"",
   ""Quotes"": [
     ""\""MALWARE-CNC Necurs Rootkit op.cgi\""""
   ],
   ""Explanation"": ""The rule triggers on HTTP traffic to external IP addresses on specific ports used by Necurs botnet for command and control.""
 }
 ",['T1105'],['T1014']
25577,"
 {
   ""Sid"": ""25577"",
   ""Technique ID"": ""T1105"",
   ""Technique Name"": ""Exploit Public-Facing Application"",
   ""Quotes"": [
     ""Exploiting a public-facing application refers to identifying and exploiting potential vulnerabilities in a software application that is publicly accessible over the internet or a network.""
   ],
   ""Explanation"": ""The rule triggers on traffic to a public-facing HTTP port with a suspicious URI and encrypted POST data. This suggests an attempt to exploit a vulnerability in a web application.""
 }
 ",['T1105'],['T1014']
25578,"
 {
   ""Sid"": ""25578"",
   ""Technique ID"": ""T1193"",
   ""Technique Name"": ""Phishing for Credentials"",
   ""Quotes"": [
     ""|3B 20|filename=PostalReceipt.zip|0D 0A|"",
     ""PostalReceipt.exe""
   ],
   ""Explanation"": ""The rule triggers when there is an HTTP response with a filename containing \""PostalReceipt.zip\"" and the file data contains \""PostalReceipt.exe\"". This pattern is commonly used in phishing attacks where the attacker tries to trick the victim into downloading a malicious file disguised as a receipt or other legitimate-looking document.""
 }
 ",['T1193'],['T1566']
