,Sid,Rule,technique ids
32,1917,"alert udp $EXTERNAL_NET any -> $HOME_NET 1900 ( msg:""INDICATOR-SCAN UPnP service discover attempt"";  flow:to_server;  content:""M-SEARCH "",depth 9;  content:""ssdp|3A|discover"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  classtype:network-scan;  sid:1917;  rev:16;  )","['T1018', 'T1040', 'T1046']"
33,2041,"alert udp $HOME_NET 49 -> $EXTERNAL_NET any ( msg:""INDICATOR-SCAN xtacacs failed login response"";  flow:to_client;  content:""|80 02|"",depth 2;  content:""|02|"",distance 4;  metadata:policy max-detect-ips drop,ruleset community;  classtype:misc-activity;  sid:2041;  rev:9;  )","['T1018', 'T1040', 'T1046']"
34,2043,"alert udp $HOME_NET 500 -> $EXTERNAL_NET 500 ( msg:""INDICATOR-SCAN isakmp login failed"";  content:""|10 05|"",depth 2,offset 17;  content:""|00 00 00 01 01 00 00 18|"",within 8,distance 13;  metadata:policy max-detect-ips drop,ruleset community;  classtype:misc-activity;  sid:2043;  rev:8;  )","['T1018', 'T1040', 'T1046']"
35,2145,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP TextPortal admin.php default password admin attempt"";  flow:to_server,established;  http_uri;  content:""/admin.php"";  pkt_data;  content:""op=admin_enter"";  content:""password=admin"",fast_pattern,nocase;  metadata:ruleset community;  service:http;  reference:bugtraq,7673;  reference:nessus,11660;  classtype:web-application-activity;  sid:2145;  rev:12;  )",['T1078']
36,2146,"alert tcp $EXTERNAL_NET any -> $HTTP_SERVERS $HTTP_PORTS ( msg:""SERVER-WEBAPP TextPortal admin.php default password 12345 attempt"";  flow:to_server,established;  http_uri;  content:""/admin.php"";  pkt_data;  content:""op=admin_enter"";  content:""password=12345"",fast_pattern,nocase;  metadata:ruleset community;  service:http;  reference:bugtraq,7673;  reference:nessus,11660;  classtype:web-application-activity;  sid:2146;  rev:12;  )",['T1078']
37,2176,"alert tcp $EXTERNAL_NET any -> $HOME_NET 139 ( msg:""OS-WINDOWS Microsoft Windows SMB startup folder access"";  flow:to_server,established;  content:""|00|"",depth 1;  content:""|FF|SMB2"",depth 5,offset 4;  content:""Documents and Settings|5C|All Users|5C|Start Menu|5C|Programs|5C|Startup|00|"",distance 0,nocase;  metadata:ruleset community;  service:netbios-ssn;  classtype:attempted-recon;  sid:2176;  rev:11;  )",['T1547']
38,2177,"alert tcp $EXTERNAL_NET any -> $HOME_NET 139 ( msg:""OS-WINDOWS Microsoft Windows SMB startup folder unicode access"";  flow:to_server,established;  content:""|00|"",depth 1;  content:""|FF|SMB2"",depth 5,offset 4;  content:""|5C 00|S|00|t|00|a|00|r|00|t|00| |00|M|00|e|00|n|00|u|00 5C 00|P|00|r|00|o|00|g|00|r|00|a|00|m|00|s|00 5C 00|S|00|t|00|a|00|r|00|t|00|u|00|p"",distance 0,nocase;  metadata:ruleset community;  classtype:attempted-recon;  sid:2177;  rev:12;  )",['T1547']
39,2230,"alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS ( msg:""SERVER-WEBAPP NetGear router default password login attempt admin/password"";  flow:to_server,established;  http_header;  content:""Authorization|3A|"",nocase;  content:""YWRtaW46cGFzc3dvcmQ"",nocase;  pcre:""/^Authorization\x3a(\s*|\s*\r?\n\s+)Basic\s+YWRtaW46cGFzc3dvcmQ/ims"";  metadata:ruleset community;  service:http;  reference:nessus,11737;  classtype:default-login-attempt;  sid:2230;  rev:17;  )",['T1078']
40,2273,"alert tcp $EXTERNAL_NET any -> $HOME_NET 143 ( msg:""PROTOCOL-IMAP login brute force attempt"";  flow:to_server,established,no_stream;  content:""LOGIN"",fast_pattern,nocase;  detection_filter:track by_dst,count 30,seconds 30;  metadata:ruleset community;  service:imap;  classtype:suspicious-login;  sid:2273;  rev:12;  )",['T1110']
41,2274,"alert tcp $EXTERNAL_NET any -> $HOME_NET 110 ( msg:""PROTOCOL-POP login brute force attempt"";  flow:to_server,established,no_stream;  content:""USER"",fast_pattern,nocase;  detection_filter:track by_dst,count 30,seconds 30;  metadata:ruleset community;  service:pop3;  classtype:suspicious-login;  sid:2274;  rev:11;  )",['T1110']
42,2275,"alert tcp $SMTP_SERVERS 25 -> $EXTERNAL_NET any ( msg:""SERVER-MAIL AUTH LOGON brute force attempt"";  flow:to_client,established,no_stream;  content:""Authentication unsuccessful"",offset 54,nocase;  detection_filter:track by_dst,count 5,seconds 60;  metadata:ruleset community;  service:smtp;  classtype:suspicious-login;  sid:2275;  rev:12;  )",['T1110']
43,2334,"alert tcp $EXTERNAL_NET any -> $HOME_NET 3535 ( msg:""PROTOCOL-FTP Yak! FTP server default account login attempt"";  flow:to_server,established;  content:""USER"",nocase;  content:""y049575046"",fast_pattern,nocase;  pcre:""/^USER\s+y049575046/ims"";  metadata:ruleset community;  reference:bugtraq,9072;  classtype:suspicious-login;  sid:2334;  rev:11;  )",['T1078']
44,2406,"alert tcp $EXTERNAL_NET any -> $TELNET_SERVERS 23 ( msg:""PROTOCOL-TELNET APC SmartSlot default admin account attempt"";  flow:to_server,established;  content:""TENmanUFactOryPOWER"",fast_pattern,nocase;  metadata:ruleset community;  service:telnet;  reference:bugtraq,9681;  reference:cve,2004-0311;  reference:nessus,12066;  classtype:suspicious-login;  sid:2406;  rev:14;  )",['T1078']
45,2578,"alert udp $EXTERNAL_NET any -> $HOME_NET 88 ( msg:""SERVER-OTHER kerberos principal name overflow UDP"";  flow:to_server;  content:""j"",depth 1;  content:""|01 A1|"";  asn1:oversize_length 1024,relative_offset -1;  metadata:ruleset community;  service:kerberos;  reference:cve,2003-0072;  reference:nessus,11512;  reference:url,web.mit.edu/kerberos/www/advisories/MITKRB5-SA-2003-005-buf.txt;  classtype:attempted-admin;  sid:2578;  rev:11;  )",['T1097']
46,2579,"alert tcp $EXTERNAL_NET any -> $HOME_NET 88 ( msg:""SERVER-OTHER kerberos principal name overflow TCP"";  flow:to_server,established;  content:""j"",depth 1,offset 4;  content:""|01 A1|"";  asn1:oversize_length 1024,relative_offset -1;  metadata:ruleset community;  service:kerberos;  reference:cve,2003-0072;  reference:nessus,11512;  reference:url,web.mit.edu/kerberos/www/advisories/MITKRB5-SA-2003-005-buf.txt;  classtype:attempted-admin;  sid:2579;  rev:8;  )",['T1097']
47,3152,"alert tcp $SQL_SERVERS 1433 -> $EXTERNAL_NET any ( msg:""SQL sa brute force failed login attempt"";  flow:to_client,established,no_stream;  content:""Login failed for user 'sa'"",fast_pattern,nocase;  detection_filter:track by_src,count 5,seconds 2;  metadata:ruleset community;  reference:bugtraq,4797;  reference:cve,2000-1209;  reference:nessus,10673;  classtype:unsuccessful-user;  sid:3152;  rev:11;  )",['T1110']
48,3273,"alert tcp $SQL_SERVERS 1433 -> $EXTERNAL_NET any ( msg:""SQL sa brute force failed login unicode attempt"";  flow:to_client,established,no_stream;  content:""L|00|o|00|g|00|i|00|n|00| |00|f|00|a|00|i|00|l|00|e|00|d|00| |00|f|00|o|00|r|00| |00|u|00|s|00|e|00|r|00| |00|'|00|s|00|a|00|'|00|"";  detection_filter:track by_src,count 5,seconds 2;  metadata:ruleset community;  reference:bugtraq,4797;  reference:cve,2000-1209;  reference:nessus,10673;  classtype:unsuccessful-user;  sid:3273;  rev:10;  )",['T1110']
49,21282,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""FILE-IDENTIFY XSL file download request"";  flow:to_server,established;  http_uri;  content:"".xsl"",fast_pattern,nocase;  pcre:""/\x2exsl([\?\x5c\x2f]|$)/ims"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:http;  classtype:misc-activity;  sid:21282;  rev:12;  )",['T1220']
50,21283,"alert tcp $EXTERNAL_NET [110,143] -> $HOME_NET any ( msg:""FILE-IDENTIFY XSL file attachment detected"";  flow:to_client,established;  content:"".xsl"",fast_pattern,nocase;  content:""Content-Disposition: attachment|3B|"";  content:""filename="",nocase;  pcre:""/filename=[^\n]*\x2exsl/i"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:imap,pop3;  classtype:misc-activity;  sid:21283;  rev:13;  )",['T1220']
51,21284,"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""FILE-IDENTIFY XSL file attachment detected"";  flow:to_server,established;  content:"".xsl"",fast_pattern,nocase;  content:""Content-Disposition: attachment|3B|"";  content:""filename="",nocase;  pcre:""/filename=[^\n]*\x2exsl/i"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:smtp;  classtype:misc-activity;  sid:21284;  rev:14;  )",['T1220']
52,21285,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""FILE-IDENTIFY XSLT file download request"";  flow:to_server,established;  http_uri;  content:"".xslt"",fast_pattern,nocase;  pcre:""/\x2exslt([\?\x5c\x2f]|$)/ims"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:http;  classtype:misc-activity;  sid:21285;  rev:12;  )",['T1220']
53,21286,"alert tcp $EXTERNAL_NET [110,143] -> $HOME_NET any ( msg:""FILE-IDENTIFY XSLT file attachment detected"";  flow:to_client,established;  content:"".xslt"",fast_pattern,nocase;  content:""Content-Disposition: attachment|3B|"";  content:""filename="",nocase;  pcre:""/filename=[^\n]*\x2exslt/i"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:imap,pop3;  classtype:misc-activity;  sid:21286;  rev:13;  )",['T1220']
54,21287,"alert tcp $EXTERNAL_NET any -> $SMTP_SERVERS 25 ( msg:""FILE-IDENTIFY XSLT file attachment detected"";  flow:to_server,established;  content:"".xslt"",fast_pattern,nocase;  content:""Content-Disposition: attachment|3B|"";  content:""filename="",nocase;  pcre:""/filename=[^\n]*\x2exslt/i"";  flowbits:set,file.xml;  flowbits:noalert;  metadata:policy max-detect-ips alert,policy security-ips alert,ruleset community;  service:smtp;  classtype:misc-activity;  sid:21287;  rev:14;  )",['T1220']
55,21442,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC URI request for known malicious URI - base64 encoded"";  flow:to_server,established;  content:""GET http|3A 2F 2F|"",depth 11;  base64_decode:relative;  base64_data;  content:""clk="";  content:""&bid="",distance 0;  content:""&aid="",within 5,distance 40;  content:""&sid="",distance 0;  content:""&rd="",distance 0;  content:""&x86="",distance 0;  metadata:impact_flag red,ruleset community;  service:http;  reference:url,www.damballa.com/tdl4/;  classtype:trojan-activity;  sid:21442;  rev:6;  )","['T1001', 'T1132']"
56,22061,"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-OTHER Alureon - Malicious IFRAME load attempt"";  flow:to_client,established;  file_data;  content:""name=|5C 22|Twitter|5C 22| scrolling=|5C 22|auto|5C 22| frameborder=|5C 22|no|5C 22| align=|5C 22|center|5C 22| height = |5C 22|1px|5C 22| width = |5C 22|1px|5C 22|>"",fast_pattern,nocase;  metadata:policy balanced-ips alert,policy max-detect-ips drop,policy security-ips drop,ruleset community;  service:http;  classtype:trojan-activity;  sid:22061;  rev:8;  )",['T1102']
57,23481,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION hex escaped characters in setTimeout call"";  flow:to_client,established;  file_data;  content:""setTimeout|28|"",nocase;  content:""|5C|x"",within 10,nocase;  content:""|5C|x"",within 10,nocase;  pcre:""/setTimeout\x28[\x22\x27][^\x2C]*?\x5cx[\da-f]{2}[^\x2C]*?[\da-f]{2,}\x5cx[\da-f]{2}/ims"";  metadata:policy max-detect-ips drop,ruleset community;  service:ftp-data,http,imap,pop3;  classtype:bad-unknown;  sid:23481;  rev:6;  )","['T1027', 'T1140']"
58,23482,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION hex escaped characters in addEventListener call"";  flow:to_client,established;  file_data;  content:""addEventListener|28|"",nocase;  content:""|5C|x"",within 10,nocase;  content:""|5C|x"",within 10,nocase;  pcre:""/addEventListener\x28[\x22\x27][^\x2C]*?\x5cx[\da-f]{2}[^\x2C]*?[\da-f]{2,}\x5cx[\da-f]{2}/ims"";  metadata:policy max-detect-ips drop,ruleset community;  service:ftp-data,http,imap,pop3;  classtype:bad-unknown;  sid:23482;  rev:6;  )","['T1027', 'T1140']"
59,23621,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION known packer routine with secondary obfuscation"";  flow:to_client,established;  file_data;  content:""eval(function(p,a,c,k,e,r)"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  service:ftp-data,http,imap,pop3;  reference:url,dean.edwards.name/packer/;  classtype:misc-activity;  sid:23621;  rev:9;  )","['T1027', 'T1140']"
60,23636,"alert tcp $EXTERNAL_NET $FILE_DATA_PORTS -> $HOME_NET any ( msg:""INDICATOR-OBFUSCATION JavaScript built-in function parseInt appears obfuscated - likely packer or encoder"";  flow:to_client,established;  file_data;  content:""|5B 27|parse|27 2B 27|Int|27 5D 28|"",fast_pattern,nocase;  metadata:policy max-detect-ips drop,ruleset community;  service:ftp-data,http,imap,pop3;  reference:url,snort.org/rule_docs/1-23636;  classtype:trojan-activity;  sid:23636;  rev:11;  )","['T1027', 'T1140']"
61,25503,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Necurs Rootkit sba.cgi"";  flow:to_server,established;  http_method;  content:""POST"";  http_raw_uri;  bufferlen:16;  http_uri;  content:""/cgi-bin/sba.cgi"",fast_pattern,nocase;  http_client_body;  pcre:""/[^\x20-\x7e\x0d\x0a]{4}/"";  metadata:ruleset community;  service:http;  reference:url,www.virustotal.com/file/b1e6f0cad0ae5c60e9e4fa18fd3b4a045d6db172c10a1c8e054e22d1aff4c673/analysis/;  classtype:trojan-activity;  sid:25503;  rev:4;  )",['T1014']
62,25504,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Necurs Rootkit op.cgi"";  flow:to_server,established;  http_method;  content:""POST"";  http_raw_uri;  bufferlen:15;  http_uri;  content:""/cgi-bin/op.cgi"",fast_pattern,nocase;  http_client_body;  pcre:""/[^\x20-\x7e\x0d\x0a]{4}/"";  metadata:ruleset community;  service:http;  reference:url,www.virustotal.com/file/b1e6f0cad0ae5c60e9e4fa18fd3b4a045d6db172c10a1c8e054e22d1aff4c673/analysis/;  classtype:trojan-activity;  sid:25504;  rev:4;  )",['T1014']
63,25577,"alert tcp $HOME_NET any -> $EXTERNAL_NET $HTTP_PORTS ( msg:""MALWARE-CNC Win.Rootkit.Necurs possible URI with encrypted POST"";  flow:to_server,established;  http_method;  content:""POST"";  http_raw_uri;  bufferlen:15;  http_uri;  content:""/admin/host.php"",fast_pattern,nocase;  http_client_body;  pcre:""/[^\x0d\x0a\x09\x20-\x7e]{4}/"";  metadata:ruleset community;  service:http;  reference:url,www.virustotal.com/file/98fb9778208cb74c11a71afd065ae64e562ded1ae477ad42e392fe3711170319/analysis/;  classtype:trojan-activity;  sid:25577;  rev:4;  )",['T1014']
64,25578,"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-OTHER Fake postal receipt HTTP Response phishing attack"";  flow:to_client,established;  http_header;  content:""|3B 20|filename=PostalReceipt.zip|0D 0A|"",fast_pattern,nocase;  file_data;  content:""PostalReceipt.exe"";  metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community;  service:http;  reference:url,www.urlquery.net/search.php?q=receipt&type=string&start=2013-01-03&end=2013-01-18&max=50;  classtype:trojan-activity;  sid:25578;  rev:4;  )",['T1566']
65,25579,"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-OTHER Fake bookinginfo HTTP Response phishing attack"";  flow:to_client,established;  http_header;  content:""|3B 20|filename=BookingInfo.zip|0D 0A|"",fast_pattern,nocase;  file_data;  content:""BookingInfo.exe"";  metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community;  service:http;  reference:url,www.urlquery.net/search.php?q=receipt&type=string&start=2013-01-03&end=2013-01-18&max=50;  classtype:trojan-activity;  sid:25579;  rev:4;  )",['T1566']
66,25580,"alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any ( msg:""MALWARE-OTHER Fake bookingdetails HTTP Response phishing attack"";  flow:to_client,established;  http_header;  content:""|3B 20|filename=BookingDetails.zip|0D 0A|"",fast_pattern,nocase;  file_data;  content:""BookingDetails.exe"";  metadata:impact_flag red,policy balanced-ips drop,policy max-detect-ips drop,policy security-ips drop,ruleset community;  service:http;  reference:url,www.urlquery.net/search.php?q=receipt&type=string&start=2013-01-03&end=2013-01-18&max=50;  classtype:trojan-activity;  sid:25580;  rev:4;  )",['T1566']
