ID,Technique Name,Description
T1036.008,Masquerade File Type,"Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, and contents"
T1036.009,Break Process Trees,An adversary may attempt to evade process tree-based analysis by modifying executed malware's parent process ID (PPID)
T1556,Modify Authentication Process,Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts
T1556.001,Domain Controller Authentication,Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts
T1556.002,Password Filter DLL,Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated
T1556.003,Pluggable Authentication Modules,Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts
T1556.004,Network Device Authentication,"Adversaries may use Patch System Image to hard code a password in the operating system, thus bypassing of native authentication mechanisms for local accounts on network devices"
T1556.005,Reversible Encryption,An adversary may abuse Active Directory authentication encryption properties to gain access to credentials on Windows systems
T1556.006,Multi-Factor Authentication,Adversaries may disable or modify multi-factor authentication (MFA) mechanisms to enable persistent access to compromised accounts
T1556.007,Hybrid Identity,"Adversaries may patch, modify, or otherwise backdoor cloud authentication processes that are tied to on-premises user identities in order to bypass typical authentication mechanisms, access credentials, and enable persistent access to accounts"
T1556.008,Network Provider DLL,Adversaries may register malicious network provider dynamic link libraries (DLLs) to capture cleartext user credentials during the authentication process
T1578,Modify Cloud Compute Infrastructure,An adversary may attempt to modify a cloud account's compute service infrastructure to evade defenses
T1578.001,Create Snapshot,An adversary may create a snapshot or data backup within a cloud account to evade defenses
T1578.002,Create Cloud Instance,An adversary may create a new instance or virtual machine (VM) within the compute service of a cloud account to evade defenses
T1578.003,Delete Cloud Instance,An adversary may delete a cloud instance after they have performed malicious activities in an attempt to evade detection and remove evidence of their presence
T1578.004,Revert Cloud Instance,An adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence
T1578.005,Modify Cloud Compute Configurations,"Adversaries may modify settings that directly affect the size, locations, and resources available to cloud compute infrastructure in order to evade defenses"
T1112,Modify Registry,"Adversaries may interact with the Windows Registry to hide configuration information within Registry keys, remove information as part of cleaning up, or as part of other techniques to aid in persistence and execution"
T1601,Modify System Image,Adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves
T1601.001,Patch System Image,Adversaries may modify the operating system of a network device to introduce new capabilities or weaken existing defenses
T1601.002,Downgrade System Image,Adversaries may install an older version of the operating system of a network device to weaken security
T1599,Network Boundary Bridging,Adversaries may bridge network boundaries by compromising perimeter network devices or internal devices responsible for network segmentation
T1599.001,Network Address Translation Traversal,Adversaries may bridge network boundaries by modifying a network device’s Network Address Translation (NAT) configuration
T1027,Obfuscated Files or Information,"Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit"
T1027.001,Binary Padding,Adversaries may use binary padding to add junk data and change the on-disk representation of malware
T1027.002,Software Packing,Adversaries may perform software packing or virtual machine software protection to conceal their code
T1027.003,Steganography,Adversaries may use steganography techniques in order to prevent the detection of hidden information
T1027.004,Compile After Delivery,Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code
T1027.005,Indicator Removal from Tools,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed"
T1027.006,HTML Smuggling,Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files
T1027.007,Dynamic API Resolution,Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis
T1027.008,Stripped Payloads,"Adversaries may attempt to make a payload difficult to analyze by removing symbols, strings, and other human readable information"
T1027.009,Embedded Payloads,Adversaries may embed payloads within other files to conceal malicious content from defenses
T1027.010,Command Obfuscation,Adversaries may obfuscate content during command execution to impede detection
T1027.011,Fileless Storage,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses"
T1027.012,LNK Icon Smuggling,Adversaries may smuggle commands to download malicious payloads past content filters by hiding them within otherwise seemingly benign windows shortcut files
T1647,Plist File Modification,"Adversaries may modify property list files (plist files) to enable other malicious activity, while also potentially evading and bypassing system defenses"
T1542,Pre-OS Boot,Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system
T1542.001,System Firmware,Adversaries may modify system firmware to persist on systems
T1542.002,Component Firmware,Adversaries may modify component firmware to persist on systems
T1542.003,Bootkit,Adversaries may use bootkits to persist on systems
T1542.004,ROMMONkit,Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect
T1542.005,TFTP Boot,Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server
T1055,Process Injection,Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.001,Dynamic-link Library Injection,Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.002,Portable Executable Injection,Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.003,Thread Execution Hijacking,Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges
T1055.004,Asynchronous Procedure Call,Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges
T1055.005,Thread Local Storage,Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges
T1055.008,Ptrace System Calls,Adversaries may inject malicious code into processes via ptrace (process trace) system calls in order to evade process-based defenses as well as possibly elevate privileges
T1055.009,Proc Memory,Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges
T1055.011,Extra Window Memory Injection,Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges
T1055.012,Process Hollowing,Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses
T1055.013,Process Doppelgänging,Adversaries may inject malicious code into process via process doppelgänging in order to evade process-based defenses as well as possibly elevate privileges
T1055.014,VDSO Hijacking,Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges
T1055.015,ListPlanting,Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges
T1620,Reflective Code Loading,Adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads
T1207,Rogue Domain Controller,Adversaries may register a rogue Domain Controller to enable manipulation of Active Directory data
T1014,Rootkit,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components"
T1553,Subvert Trust Controls,Adversaries may undermine security controls that will either warn users of untrusted activity or prevent execution of untrusted programs
T1553.001,Gatekeeper Bypass,Adversaries may modify file attributes and subvert Gatekeeper functionality to evade user prompts and execute untrusted programs
T1553.002,Code Signing,"Adversaries may create, acquire, or steal code signing materials to sign their malware or tools"
T1553.003,SIP and Trust Provider Hijacking,Adversaries may tamper with SIP and trust provider components to mislead the operating system and application control tools when conducting signature validation checks
T1553.004,Install Root Certificate,Adversaries may install a root certificate on a compromised system to avoid warnings when connecting to adversary controlled web servers
T1553.005,Mark-of-the-Web Bypass,Adversaries may abuse specific file formats to subvert Mark-of-the-Web (MOTW) controls
T1553.006,Code Signing Policy Modification,Adversaries may modify code signing policies to enable execution of unsigned or self-signed code
T1218,System Binary Proxy Execution,"Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries"
T1218.001,Compiled HTML File,Adversaries may abuse Compiled HTML files (
T1218.002,Control Panel,Adversaries may abuse control
T1218.003,CMSTP,Adversaries may abuse CMSTP to proxy execution of malicious code
T1218.004,InstallUtil,Adversaries may use InstallUtil to proxy execution of code through a trusted Windows utility
T1218.005,Mshta,Adversaries may abuse mshta
T1218.007,Msiexec,Adversaries may abuse msiexec
T1218.008,Odbcconf,Adversaries may abuse odbcconf
T1218.009,Regsvcs/Regasm,Adversaries may abuse Regsvcs and Regasm to proxy execution of code through a trusted Windows utility
T1218.010,Regsvr32,Adversaries may abuse Regsvr32
T1218.011,Rundll32,Adversaries may abuse rundll32
T1218.012,Verclsid,Adversaries may abuse verclsid
T1218.013,Mavinject,Adversaries may abuse mavinject
T1218.014,MMC,Adversaries may abuse mmc
T1216,System Script Proxy Execution,"Adversaries may use trusted scripts, often signed with certificates, to proxy the execution of malicious files"
T1216.001,PubPrn,Adversaries may use PubPrn to proxy execution of malicious remote files
T1221,Template Injection,Adversaries may create or modify references in user document templates to conceal malicious code or force authentication attempts
T1205,Traffic Signaling,Adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control
T1205.001,Port Knocking,Adversaries may use port knocking to hide open ports used for persistence or command and control
T1205.002,Socket Filters,Adversaries may attach filters to a network socket to monitor then activate backdoors used for persistence or command and control
T1127,Trusted Developer Utilities Proxy Execution,Adversaries may take advantage of trusted developer utilities to proxy execution of malicious payloads
T1127.001,MSBuild,Adversaries may use MSBuild to proxy execution of code through a trusted Windows utility
T1535,Unused/Unsupported Cloud Regions,Adversaries may create cloud instances in unused geographic service regions in order to evade detection
T1550,Use Alternate Authentication Material,"Adversaries may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls"
T1550.001,Application Access Token,"Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems"
T1550.002,Pass the Hash,"Adversaries may ""pass the hash"" using stolen password hashes to move laterally within an environment, bypassing normal system access controls"
T1550.003,Pass the Ticket,"Adversaries may ""pass the ticket"" using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls"
T1550.004,Web Session Cookie,Adversaries can use stolen session cookies to authenticate to web applications and services
T1078,Valid Accounts,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1078.001,Default Accounts,"Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1078.002,Domain Accounts,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1078.003,Local Accounts,"Adversaries may obtain and abuse credentials of a local account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1078.004,Cloud Accounts,"Valid accounts in cloud environments may allow adversaries to perform actions to achieve Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1497,Virtualization/Sandbox Evasion,Adversaries may employ various means to detect and avoid virtualization and analysis environments
T1497.001,System Checks,Adversaries may employ various system checks to detect and avoid virtualization and analysis environments
T1497.002,User Activity Based Checks,Adversaries may employ various user activity checks to detect and avoid virtualization and analysis environments
T1497.003,Time Based Evasion,Adversaries may employ various time-based methods to detect and avoid virtualization and analysis environments
T1600,Weaken Encryption,Adversaries may compromise a network device’s encryption capability in order to bypass encryption that would otherwise protect data communications
T1600.001,Reduce Key Space,Adversaries may reduce the level of effort required to decrypt data transmitted over the network by reducing the cipher strength of encrypted communications
T1600.002,Disable Crypto Hardware,"Adversaries disable a network device’s dedicated hardware encryption, which may enable them to leverage weaknesses in software encryption in order to reduce the effort involved in collecting, manipulating, and exfiltrating transmitted data"
T1220,XSL Script Processing,Adversaries may bypass application control and obscure execution of code by embedding scripts inside XSL files
