Technique_id,True_labels
"['T1003.001', 'T1003.001']",['T1213']
"['T1071.001', 'T1071.001']",['T1094']
"['T1203', 'T1203']",['T1574']
"['T1105', 'T1105']",['T1213']
['T1077'],['T1189']
"['T1203', 'T1203']",['T1047']
['T1071'],['T1571']
['T1071'],['T1043']
['T1059.001'],['T1059']
"['T1190', 'T1190']",['T1123']
['T1497'],['T1014']
"['T1218', 'T1218']",['T1559']
['T1110'],['T1110']
"['T1105', 'T1105']",['T1192']
"['T1048', 'T1048']",['T1070']
['T1046'],['T1040']
"['T1211', 'T1190', 'T1211', 'T1190']",['T1040']
"['T1139', 'T1046', 'T1046']",['T1018']
['T1609'],['T1195']
"['T1083', 'T1083']",['T1593']
['T1102'],['T1102']
['T1189'],['T1189']
"['T1420', 'T1420']",['T1082']
"['T1420', 'T1420']",['T1082']
['T1097'],['T1218']
['T1192'],['T1566']
"['T1211', 'T1211']",['T1189']
['T1071'],['T1043']
['T1489'],['T1070']
['T1071.001'],['T1102']
['T1100'],"['T1505', 'T1219']"
['T1071'],['T1043']
"['T1110', 'T1110']",['T1110']
['T1137'],['T1218']
['T1499'],['T1550']
"['T1047', 'T1047']",['T1047']
"['T1211', 'T1211']",['T1220']
"['T1072', 'T1072']",['T1219']
"['T1195', 'T1195']",['T1068']
['T1505'],['T1220']
"['T1020', 'T1020']","['T1020', 'T1071']"
"['T1100', 'T1100']","['T1505', 'T1219']"
"['T1203', 'T1203']",['T1203']
"['T1190', 'T1190']",['T1220']
['T1211'],['T1220']
['T1505'],['T1070']
['T1071.001'],['T1571']
"['T1552.001', 'T1552.001']",['T1003']
"['T1572', 'T1572']",['T1048']
['T1197'],['T1197']
"['T1499', 'T1211', 'T1499', 'T1211']",['T1070']
['T1078'],['T1166']
"['T1211', 'T1211']",['T1574']
"['T1021.001', 'T1021.001']",['T1595']
"['T1190', 'T1190']",['T1133']
"['T1071.001', 'T1071.001']",['T1133']
"['T1105', 'T1105']",['T1102']
"['T1105', 'T1105']",['T1571']
"['T1223', 'T1223']",['T1559']
['T1505'],['T1106']
"['T1190', 'T1190']",['T1005']
"['T1218', 'T1203', 'T1218']",['T1047']
['T1071.001'],['T1001']
"['T1211', 'T1211']",['T1574']
"['T1218', 'T1218']",['T1559']
['T1071'],['T1219']
"['T1105', 'T1105']",['T1213']
"['T1190', 'T1190']",['T1518']
"['T1505.003', 'T1505.003']",['T1119']
['T1071.001'],['T1197']
['T1071.001'],['T1571']
['T1021'],['T1592']
['T1071.004'],['T1571']
['T1218'],['T1047']
['T1486'],['T1485']
"['T1557.001', 'T1557.001']",['T1072']
"['T1190', 'T1190']",['T1005']
"['T1203', 'T1203']",['T1203']
['T1083'],['T1087']
['T1568.003'],['T1568']
['T1218'],['T1047']
['T1197'],['T1197']
"['T1021.001', 'T1021.001']",['T1482']
"['T1021.002', 'T1021.003', 'T1021.002', 'T1021.003']",['T1046']
"['T1190', 'T1190']",['T1154']
"['T1003.003', 'T1003.003']",['T1003']
"['T1557', 'T1557']",['T1003']
['T1203'],['T1203']
['T1197'],['T1197']
['T1505'],['T1106']
"['T1211', 'T1211']",['T1547']
['T1071'],['T1041']
"['T1218', 'T1218']",['T1047']
"['T1135', 'T1135']",['T1046']
"['T1557.001', 'T1557.001']",['T1082']
"['T1572', 'T1572']",['T1048']
"['T1223', 'T1223']",['T1559']
['T1203'],['T1574']
['T1190'],['T1005']
"['T1047', 'T1047']",['T1047']
"['T1083', 'T1083']",['T1592']
['T1071'],['T1001']
"['T1087', 'T1087']",['T1087']
['T1055'],"['T1189', 'T1055']"
['T1078'],['T1018']
['T1498'],['T1018']
['T1190'],['T1081']
"['T1139', 'T1139']",['T1552']
"['T1001', 'T1132', 'T1001', 'T1132']",['T1001']
"['T1100', 'T1100']","['T1505', 'T1219']"
['T1100'],"['T1505', 'T1219']"
"['T1190', 'T1190']",['T1531']
"['T1574.001', 'T1574.001']",['T1574']
['T1105'],['T1050']
['T1210'],['T1569']
['T1071.001'],['T1001']
"['T1109', 'T1109']",['T1565']
